tier,korea,citation,doi,method,comparison,url
SSCI核心,否,"Bharadwaj, A., El Sawy, O. A., Pavlou, P. A., & Venkatraman, N. (2013). Digital business strategy: Toward a next generation of insights. MIS Quarterly, 37(2), 471–482.",10.25300/MISQ/2013/37:2.3,概念与研究议程；提出数字战略的范围、规模、速度与价值来源。,为‘数字词出现’与‘数字战略行动’的区分提供理论边界；不用于比较显著性。,https://doi.org/10.25300/MISQ/2013/37:2.3
SSCI核心,否,"Vial, G. (2019). Understanding digital transformation: A review and a research agenda. Journal of Strategic Information Systems, 28(2), 118–144.",10.1016/j.jsis.2019.01.003,系统综述282项研究；强调技术冲击、战略响应、价值创造路径与组织结构变化。,支持将实质行动、BMI重构和组织能力分开测量，而非只计技术词。,https://doi.org/10.1016/j.jsis.2019.01.003
SSCI核心,否,"Hanelt, A., Bohnsack, R., Marz, D., & Antunes Marante, C. (2021). A systematic review of the literature on digital transformation. Journal of Management Studies, 58(5), 1159–1197.",10.1111/joms.12639,系统综述279篇文章；组织变革与数字生态系统框架。,提示平均处理效应可能掩盖持续适应、生态位与组织设计的异质性。,https://doi.org/10.1111/joms.12639
SSCI核心,否,"Verhoef, P. C., et al. (2021). Digital transformation: A multidisciplinary reflection and research agenda. Journal of Business Research, 122, 889–901.",10.1016/j.jbusres.2019.09.022,跨学科理论整合；区分digitization、digitalization与digital transformation。,说明真正转型应改变增长方式、组织结构和绩效指标，适合解释短期财务效应弱。,https://doi.org/10.1016/j.jbusres.2019.09.022
SSCI核心,否,"Chen, W., & Srinivasan, S. (2024). Going digital: Implications for firm value and performance. Review of Accounting Studies, 29, 1619–1665.",10.1007/s11142-023-09753-0,美国非科技公司10-K文本；估值、收益组合、滞后因变量与IV；经营绩效分解。,估值显著但近期ROA证据弱、销售增长和利润率可下降；与本研究‘资本市场与经营结果分离’高度一致。,https://doi.org/10.1007/s11142-023-09753-0
SSCI核心,否,"Zhai, H., Yang, M., & Chan, K. C. (2022). Does digital transformation enhance a firm's performance? Evidence from China. Technology in Society, 68, 101841.",10.1016/j.techsoc.2021.101841,中国上市公司2009–2019；年报文本初筛后人工确认十类DT；ROA/ROE、机制与生命周期异质性。,可能显著的关键在于人工确认、DT有无/程度分层、成熟期异质性和较弱的公司内识别；应复核其固定效应与选择控制。,https://doi.org/10.1016/j.techsoc.2021.101841
SSCI核心,否,"Sklenarz, F. A., Edeling, A., Himme, A., & Wichmann, J. R. K. (2024). Does bigger still mean better? International Journal of Research in Marketing, 41(4), 648–670.",10.1016/j.ijresmar.2024.01.004,824家美国公司、6389个观察、25年；经独立编码验证的10-K字典；内部/外部与平台化分维度交互。,显著性来自预先理论化的条件效应而非强求平均主效应；直接启发BMI和内外部数字化分型。,https://doi.org/10.1016/j.ijresmar.2024.01.004
SSCI韩国,是,"Choi, J., & Kim, Y. J. (2025). The impact of twin transition on firms' business performance: Empirical evidence from Korean manufacturing firms. Energy Economics, 149, 108765.",10.1016/j.eneco.2025.108765,Korea Innovation Survey 2022；数字与生态创新联合采用；IV、PSM和Heckman选择模型。,销售显著来自明确‘采用行为’、创新调查和互补处理；不是年报披露强度。可借鉴外部工具变量和互补创新。,https://doi.org/10.1016/j.eneco.2025.108765
SSCI韩国,是,"Won, J. Y., & Park, M. J. (2020). Smart factory adoption in small and medium-sized enterprises: Empirical evidence of manufacturing industry in Korea. Technological Forecasting and Social Change, 157, 120117.",10.1016/j.techfore.2020.120117,韩国2012家制造业SME调查；因子分析与Logit，考察采用意向和实施阶段。,研究的是采用决定而非采用后的财务回报；很多传统企业特征并不显著，不能当作绩效正效应证据。,https://doi.org/10.1016/j.techfore.2020.120117
SSCI韩国,是,"Lim, C.-L., Jung, W.-J., Kim, Y. E., Eom, C., & Lee, S.-Y. T. (2024). The differential impact of IT investments in the long term: A long-horizon event study. Industrial Management & Data Systems, 124(9), 2711–2735.",10.1108/IMDS-08-2023-0591,韩国上市公司2000–2018 IT投资公告；公告后5年月度收益的长窗事件研究；按投资类型和行业分组。,长期正效应集中于自研IT和制造业；数据、安全、基础设施并不显著。说明行动类型和兑现期限比总披露量更关键。,https://doi.org/10.1108/IMDS-08-2023-0591
