"model_id","family","role","description","outcome","focal","coefficient","std_error","t_statistic","p_value","ci_95_low","ci_95_high","standardized_outcome_effect","n","firms","years","r_squared_within","control_count","controls","dropped_controls","effect_spec","covariance","sample_note","status","left_out_year","fdr_within_family"
"CAR_YEAR_FE_FIRM_CLUSTER","car_optimized","confirmatory","冻结模型在严格对齐CAR上的复核","AlignedCAR_0_p2_w","Digital_z","-0.0031731331287954577","0.0013137428122023623","-2.4153381463423633","0.015731574991652897","-0.005748213610323102","-0.0005980526472678131","-0.05738154928385347","18623","2359","10.0","0.005991849616146849","12.0","FirmSize_w; Leverage_w; ROA_AvgAssets_w; SalesGrowth_w; Liquidity_w; OperatingMargin_w; FirmAgeLog_w; LossDummy; NegativeEquityDummy; LogTotalSentences; FiscalYearStockReturn_w; FiscalYearDailyVolatility_w","","firm_year","firm","exact corrected-text filing date","ok","","0.1290305831263625"
"CAR_EVENT_DATE_FE_FIRM_CLUSTER","car_optimized","robustness","披露交易日固定效应，公司聚类","AlignedCAR_0_p2_w","Digital_z","-0.002691547653814213","0.0013928933677251783","-1.9323429317564695","0.05333593722915553","-0.005421788077013729","3.869276938530276e-05","-0.04867276854715795","18623","2359","10.0","0.005150520554066507","12.0","FirmSize_w; Leverage_w; ROA_AvgAssets_w; SalesGrowth_w; Liquidity_w; OperatingMargin_w; FirmAgeLog_w; LossDummy; NegativeEquityDummy; LogTotalSentences; FiscalYearStockReturn_w; FiscalYearDailyVolatility_w","","firm_event_date","firm","exact corrected-text filing date","ok","","0.1290305831263625"
"CAR_EVENT_DATE_FE_TWO_WAY","car_optimized","robustness","披露交易日固定效应，公司/披露日双向聚类","AlignedCAR_0_p2_w","Digital_z","-0.002691547653814213","0.0014490749077920055","-1.8574247882846835","0.06327026287261583","-0.0055319107291005604","0.00014881542147213416","-0.04867276854715795","18623","2359","10.0","0.005150520554066507","12.0","FirmSize_w; Leverage_w; ROA_AvgAssets_w; SalesGrowth_w; Liquidity_w; OperatingMargin_w; FirmAgeLog_w; LossDummy; NegativeEquityDummy; LogTotalSentences; FiscalYearStockReturn_w; FiscalYearDailyVolatility_w","","firm_event_date","firm_event_date","exact corrected-text filing date","ok","","0.1290305831263625"
"CAR_EVENT_DATE_FE_LAGGED_CONTROLS","car_optimized","robustness","使用前一年财务控制，避免控制同期披露结果","AlignedCAR_0_p2_w","Digital_z","-0.002144718460006454","0.001757115268584594","-1.220590645560826","0.22226316831641713","-0.005588921479322049","0.001299484559309142","-0.03840664881146533","16450","2339","9.0","0.0021566481826816863","12.0","FirmSize_w_l1; Leverage_w_l1; ROA_AvgAssets_w_l1; SalesGrowth_w_l1; Liquidity_w_l1; OperatingMargin_w_l1; FirmAgeLog_w_l1; LossDummy_l1; NegativeEquityDummy_l1; LogTotalSentences_l1; FiscalYearStockReturn_w; FiscalYearDailyVolatility_w","","firm_event_date","firm_event_date","exact corrected-text filing date","ok","","0.287634688409481"
"CAR_EVENT_DATE_FE_PARSIMONIOUS","car_optimized","robustness","结果变量专属精简控制","AlignedCAR_0_p2_w","Digital_z","-0.002741714063495153","0.001473533869689132","-1.8606386455667732","0.06281459624320096","-0.005630018282757405","0.00014659015576709913","-0.04957292138039499","18712","2361","10.0","0.0048933527662359255","7.0","FirmSize_w; Leverage_w; ROA_AvgAssets_w; SalesGrowth_w; FiscalYearStockReturn_w; FiscalYearDailyVolatility_w; LogTotalSentences","","firm_event_date","firm_event_date","exact corrected-text filing date","ok","","0.1290305831263625"
"CAR_EVENT_DATE_FE_MINIMAL","car_optimized","robustness","仅市场状态和报告篇幅控制","AlignedCAR_0_p2_w","Digital_z","-0.002383647296257452","0.0010959642891092","-2.1749315374088343","0.029648562343533635","-0.0045318460780710106","-0.00023544851444389425","-0.043167846317138325","21273","2390","11.0","0.005405983756096022","3.0","FiscalYearStockReturn_w; FiscalYearDailyVolatility_w; LogTotalSentences","","firm_event_date","firm_event_date","exact corrected-text filing date","ok","","0.1290305831263625"
"CAR_MARKET_DATE_FE_TWO_WAY","car_optimized","robustness","市场×披露交易日固定效应，公司/市场披露日双向聚类","AlignedCAR_0_p2_w","Digital_z","-0.003032345299447883","0.0015594468686066767","-1.9445005536849105","0.05185431719405997","-0.006089058664689914","2.436806579414778e-05","-0.05483560386008195","18623","2359","10.0","0.006569684903610651","12.0","FirmSize_w; Leverage_w; ROA_AvgAssets_w; SalesGrowth_w; Liquidity_w; OperatingMargin_w; FirmAgeLog_w; LossDummy; NegativeEquityDummy; LogTotalSentences; FiscalYearStockReturn_w; FiscalYearDailyVolatility_w","","firm_event_date","firm_event_date","exact corrected-text filing date","ok","","0.1290305831263625"
"CAR_GOVERNANCE_2020PLUS","car_optimized","robustness","2020年后加入研发、员工、所有权与董事会控制","AlignedCAR_0_p2_w","Digital_z","0.0025075218794247717","0.0031261271824701755","0.8021176788602057","0.42255905117604553","-0.0036224617571884725","0.008637505516038016","0.048836804761730086","4171","1142","6.0","0.009800395454166111","18.0","FirmSize_w; Leverage_w; ROA_AvgAssets_w; SalesGrowth_w; Liquidity_w; OperatingMargin_w; FirmAgeLog_w; LossDummy; NegativeEquityDummy; LogTotalSentences; AssetTurnover_w; WorkingCapitalRatio_w; EmployeeLog_w; LargestHolderGroupOwnership_w; RAndDIntensityReported_w; OutsideDirectorRatio_w; FiscalYearStockReturn_w; FiscalYearDailyVolatility_w","","firm_event_date","firm_event_date","2020-2025 governance-complete cases","ok","","0.5025026554525948"
"CAR_ALT_AlignedMarketAdjustedCAR_0_p2_w","car_optimized","robustness","替代事件窗/预期收益模型：市场调整CAR[0,+2]","AlignedMarketAdjustedCAR_0_p2_w","Digital_z","-0.0028102824634672276","0.0014764177942599818","-1.9034466222183488","0.05700135172234666","-0.005704240922041057","8.367599510660266e-05","-0.050173814009029545","18623","2359","10.0","0.0003246784921235868","12.0","FirmSize_w; Leverage_w; ROA_AvgAssets_w; SalesGrowth_w; Liquidity_w; OperatingMargin_w; FirmAgeLog_w; LossDummy; NegativeEquityDummy; LogTotalSentences; FiscalYearStockReturn_w; FiscalYearDailyVolatility_w","","firm_event_date","firm_event_date","exact corrected-text filing date","ok","","0.1290305831263625"
"CAR_ALT_AlignedCAR_m1_p1_w","car_optimized","robustness","替代事件窗/预期收益模型：市场模型CAR[-1,+1]","AlignedCAR_m1_p1_w","Digital_z","-0.0009362842742131714","0.0014959399587125399","-0.6258835916242064","0.5314007851866189","-0.003868508440007805","0.0019959398915814627","-0.017043850040873283","18631","2359","10.0","0.005331310053535376","12.0","FirmSize_w; Leverage_w; ROA_AvgAssets_w; SalesGrowth_w; Liquidity_w; OperatingMargin_w; FirmAgeLog_w; LossDummy; NegativeEquityDummy; LogTotalSentences; FiscalYearStockReturn_w; FiscalYearDailyVolatility_w","","firm_event_date","firm_event_date","exact corrected-text filing date","ok","","0.5702837694685666"
"CAR_ALT_AlignedCAR_0_p5_w","car_optimized","robustness","替代事件窗/预期收益模型：市场模型CAR[0,+5]","AlignedCAR_0_p5_w","Digital_z","-0.0027150288520339343","0.0019361545911786575","-1.4022789628493082","0.16085258948701786","-0.006510127392525534","0.001080069688457665","-0.035485663482822616","18616","2358","10.0","0.012058062232791489","12.0","FirmSize_w; Leverage_w; ROA_AvgAssets_w; SalesGrowth_w; Liquidity_w; OperatingMargin_w; FirmAgeLog_w; LossDummy; NegativeEquityDummy; LogTotalSentences; FiscalYearStockReturn_w; FiscalYearDailyVolatility_w","","firm_event_date","firm_event_date","exact corrected-text filing date","ok","","0.2144701193160238"
"CAR_ALT_AlignedMarketAdjustedCAR_m1_p1_w","car_optimized","robustness","替代事件窗/预期收益模型：市场调整CAR[-1,+1]","AlignedMarketAdjustedCAR_m1_p1_w","Digital_z","-0.0010284912434189604","0.001555088286355199","-0.6613716098585813","0.5083841486610696","-0.004076653321474063","0.0020196708346361426","-0.018517942887538805","18631","2359","10.0","0.0010699615433482634","12.0","FirmSize_w; Leverage_w; ROA_AvgAssets_w; SalesGrowth_w; Liquidity_w; OperatingMargin_w; FirmAgeLog_w; LossDummy; NegativeEquityDummy; LogTotalSentences; FiscalYearStockReturn_w; FiscalYearDailyVolatility_w","","firm_event_date","firm_event_date","exact corrected-text filing date","ok","","0.5614430448554515"
"CAR_ALT_AlignedMarketAdjustedCAR_0_p5_w","car_optimized","robustness","替代事件窗/预期收益模型：市场调整CAR[0,+5]","AlignedMarketAdjustedCAR_0_p5_w","Digital_z","-0.003054481881572693","0.0019920126516752013","-1.5333646997693506","0.12520704522309845","-0.006959069016017979","0.0008501052528725925","-0.040149433988437934","18616","2358","10.0","0.0017705822453814024","12.0","FirmSize_w; Leverage_w; ROA_AvgAssets_w; SalesGrowth_w; Liquidity_w; OperatingMargin_w; FirmAgeLog_w; LossDummy; NegativeEquityDummy; LogTotalSentences; FiscalYearStockReturn_w; FiscalYearDailyVolatility_w","","firm_event_date","firm_event_date","exact corrected-text filing date","ok","","0.17771322547794619"
"CAR_EXPOSURE_EMPIRICAL_LOGIT","car_optimized","robustness","平滑数字句发生率","AlignedCAR_0_p2_w","Digital_empirical_logit_z","-0.001645240640796145","0.000980457610074816","-1.6780334242809345","0.09336133828878901","-0.0035670568130072603","0.00027657553141497045","-0.029751810933151733","18623","2359","10.0","0.004929482171539656","12.0","FirmSize_w; Leverage_w; ROA_AvgAssets_w; SalesGrowth_w; Liquidity_w; OperatingMargin_w; FirmAgeLog_w; LossDummy; NegativeEquityDummy; LogTotalSentences; FiscalYearStockReturn_w; FiscalYearDailyVolatility_w","","firm_event_date","firm_event_date","exact corrected-text filing date","ok","","0.1467106744538113"
"CAR_EXPOSURE_CHANGE","car_optimized","robustness","数字战略相对上年变化","AlignedCAR_0_p2_w","Digital_change_z","-6.022702191979634e-05","0.0005982225966157949","-0.10067660810625782","0.9198085221824384","-0.0012328160751789502","0.0011123620313393573","-0.0010891190776550893","18623","2359","10.0","0.004468634518420278","12.0","FirmSize_w; Leverage_w; ROA_AvgAssets_w; SalesGrowth_w; Liquidity_w; OperatingMargin_w; FirmAgeLog_w; LossDummy; NegativeEquityDummy; LogTotalSentences; FiscalYearStockReturn_w; FiscalYearDailyVolatility_w","","firm_event_date","firm_event_date","exact corrected-text filing date","ok","","0.9198085221824382"
"CAR_EXPOSURE_PURE_SIGNAL","car_optimized","robustness","实质行动与非实质市场信号同时进入","AlignedCAR_0_p2_w","Digital_z","-0.0027360071474344582","0.0014119591046931564","-1.9377382378429726","0.052673851167988284","-0.005503618748916442","3.160445404752545e-05","-0.04947675455113431","18623","2359","10.0","0.005166123205915141","12.0","FirmSize_w; Leverage_w; ROA_AvgAssets_w; SalesGrowth_w; Liquidity_w; OperatingMargin_w; FirmAgeLog_w; LossDummy; NegativeEquityDummy; LogTotalSentences; FiscalYearStockReturn_w; FiscalYearDailyVolatility_w","","firm_event_date","firm_event_date","exact corrected-text filing date","ok","","0.1290305831263625"
"CAR_EXPOSURE_PURE_SIGNAL","car_optimized","robustness","实质行动与非实质市场信号同时进入","AlignedCAR_0_p2_w","PureSignal_z","0.00020995977893596327","0.0008344142883719866","0.25162533990832386","0.8013341063732713","-0.0014255937277234967","0.0018455132855954232","0.0037968206544218923","18623","2359","10.0","0.005166123205915141","12.0","FirmSize_w; Leverage_w; ROA_AvgAssets_w; SalesGrowth_w; Liquidity_w; OperatingMargin_w; FirmAgeLog_w; LossDummy; NegativeEquityDummy; LogTotalSentences; FiscalYearStockReturn_w; FiscalYearDailyVolatility_w","","firm_event_date","firm_event_date","exact corrected-text filing date","ok","","0.8199697832656729"
"CAR_EXPOSURE_INTERNAL_COMPONENTS","car_optimized","robustness","运营数字化与BMI数字化分解","AlignedCAR_0_p2_w","OperationalDigital_z","-0.0022383946206128644","0.0011310140904836855","-1.9791040973287968","0.04782248576534509","-0.004455319818982891","-2.1469422242837138e-05","-0.04047814763075107","18623","2359","10.0","0.005154790919810415","12.0","FirmSize_w; Leverage_w; ROA_AvgAssets_w; SalesGrowth_w; Liquidity_w; OperatingMargin_w; FirmAgeLog_w; LossDummy; NegativeEquityDummy; LogTotalSentences; FiscalYearStockReturn_w; FiscalYearDailyVolatility_w","","firm_event_date","firm_event_date","exact corrected-text filing date","ok","","0.1290305831263625"
"CAR_EXPOSURE_INTERNAL_COMPONENTS","car_optimized","robustness","运营数字化与BMI数字化分解","AlignedCAR_0_p2_w","BMI_component_z","-0.000919156525660744","0.0012609946065927527","-0.7289139230692937","0.46606566138232486","-0.0033908593469480068","0.0015525462956265186","-0.016621623907976075","18623","2359","10.0","0.005154790919810415","12.0","FirmSize_w; Leverage_w; ROA_AvgAssets_w; SalesGrowth_w; Liquidity_w; OperatingMargin_w; FirmAgeLog_w; LossDummy; NegativeEquityDummy; LogTotalSentences; FiscalYearStockReturn_w; FiscalYearDailyVolatility_w","","firm_event_date","firm_event_date","exact corrected-text filing date","ok","","0.5396549763374288"
"CAR_EXPOSURE_BOILERPLATE","car_optimized","robustness","实质行动与口号式披露同时进入","AlignedCAR_0_p2_w","Digital_z","-0.002585961572990722","0.0014362354256699933","-1.8005137088053582","0.07179957784381985","-0.005401157716654892","0.0002292345706734482","-0.04676339612105933","18623","2359","10.0","0.005101105615947565","12.0","FirmSize_w; Leverage_w; ROA_AvgAssets_w; SalesGrowth_w; Liquidity_w; OperatingMargin_w; FirmAgeLog_w; LossDummy; NegativeEquityDummy; LogTotalSentences; FiscalYearStockReturn_w; FiscalYearDailyVolatility_w","","firm_event_date","firm_event_date","exact corrected-text filing date","ok","","0.13163255938033638"
"CAR_EXPOSURE_BOILERPLATE","car_optimized","robustness","实质行动与口号式披露同时进入","AlignedCAR_0_p2_w","Boilerplate_z","-0.0004897185412243394","0.0009487059703848856","-0.5161963311200233","0.605724877249969","-0.002349297647520787","0.0013698605650721086","-0.008855855543365907","18623","2359","10.0","0.005101105615947565","12.0","FirmSize_w; Leverage_w; ROA_AvgAssets_w; SalesGrowth_w; Liquidity_w; OperatingMargin_w; FirmAgeLog_w; LossDummy; NegativeEquityDummy; LogTotalSentences; FiscalYearStockReturn_w; FiscalYearDailyVolatility_w","","firm_event_date","firm_event_date","exact corrected-text filing date","ok","","0.6345689190237771"
"CAR_EXPOSURE_MARKET_INTERACTION","car_optimized","robustness","KOSPI/KOSDAQ斜率差异","AlignedCAR_0_p2_w","Digital_z","-0.008070134894987016","0.0032083680628711433","-2.515339492491119","0.011902111547476668","-0.014358926576780187","-0.0017813432131938457","-0.14593678374277042","18623","2359","10.0","0.005492352969403647","12.0","FirmSize_w; Leverage_w; ROA_AvgAssets_w; SalesGrowth_w; Liquidity_w; OperatingMargin_w; FirmAgeLog_w; LossDummy; NegativeEquityDummy; LogTotalSentences; FiscalYearStockReturn_w; FiscalYearDailyVolatility_w","","firm_event_date","firm_event_date","exact corrected-text filing date","ok","","0.1290305831263625"
"CAR_EXPOSURE_MARKET_INTERACTION","car_optimized","robustness","KOSPI/KOSDAQ斜率差异","AlignedCAR_0_p2_w","Digital_x_KOSDAQ_optimized","0.006422991908400944","0.0035254447453643496","1.8218954975387474","0.06849068466887287","-0.0004873086415391713","0.01333329245834106","0.11615057162181189","18623","2359","10.0","0.005492352969403647","12.0","FirmSize_w; Leverage_w; ROA_AvgAssets_w; SalesGrowth_w; Liquidity_w; OperatingMargin_w; FirmAgeLog_w; LossDummy; NegativeEquityDummy; LogTotalSentences; FiscalYearStockReturn_w; FiscalYearDailyVolatility_w","","firm_event_date","firm_event_date","exact corrected-text filing date","ok","","0.13102565762740898"
"CAR_EXPOSURE_MARKET_INTERACTION","car_optimized","exploratory","KOSDAQ中的数字战略边际效应","AlignedCAR_0_p2_w","Digital_marginal_KOSDAQ","-0.0016471429865860723","0.00158487374885719","-1.0392897148897715","0.2986700167542393","-0.0047534955343461645","0.00145920956117402","","18623","2359","","","","","","firm_event_date","firm_event_date","exact corrected-text filing date","ok","","0.3650411315885147"
"CAR_SAMPLE_NO_CORRECTION","car_optimized","robustness","未发生更正的年报","AlignedCAR_0_p2_w","Digital_z","-0.003243317012833542","0.0016598479922962743","-1.9539843575354499","0.05072623094997031","-0.0064968869999274615","1.0252974260377759e-05","-0.058108607943575745","14696","2321","10.0","0.005355021424367612","12.0","FirmSize_w; Leverage_w; ROA_AvgAssets_w; SalesGrowth_w; Liquidity_w; OperatingMargin_w; FirmAgeLog_w; LossDummy; NegativeEquityDummy; LogTotalSentences; FiscalYearStockReturn_w; FiscalYearDailyVolatility_w","","firm_event_date","firm_event_date","latest text equals first filing","ok","","0.1290305831263625"
"CAR_SAMPLE_CORRECTION_LE30","car_optimized","robustness","更正滞后不超过30天","AlignedCAR_0_p2_w","Digital_z","-0.0034996969355672813","0.001622193214597844","-2.157386003143212","0.030993652752295153","-0.006679429816905424","-0.00031996405422913795","-0.0631771272559223","15958","2330","10.0","0.005991241663213742","12.0","FirmSize_w; Leverage_w; ROA_AvgAssets_w; SalesGrowth_w; Liquidity_w; OperatingMargin_w; FirmAgeLog_w; LossDummy; NegativeEquityDummy; LogTotalSentences; FiscalYearStockReturn_w; FiscalYearDailyVolatility_w","","firm_event_date","firm_event_date","correction lag <= 30 days","ok","","0.1290305831263625"
"CAR_SAMPLE_CORRECTION_LE90","car_optimized","robustness","更正滞后不超过90天","AlignedCAR_0_p2_w","Digital_z","-0.003190186005044316","0.0015155552146387443","-2.104961913779397","0.035312929098383794","-0.006160884181957104","-0.00021948782813152818","-0.05769294511865891","16588","2332","10.0","0.0062376954263356765","12.0","FirmSize_w; Leverage_w; ROA_AvgAssets_w; SalesGrowth_w; Liquidity_w; OperatingMargin_w; FirmAgeLog_w; LossDummy; NegativeEquityDummy; LogTotalSentences; FiscalYearStockReturn_w; FiscalYearDailyVolatility_w","","firm_event_date","firm_event_date","correction lag <= 90 days","ok","","0.1290305831263625"
