model_id,family,role,outcome,test,variables,chi2,df,p_value,status,fdr_all_joint_tests
OP_HURDLE_SalesGrowth_w_t1,operating_optimized,exploratory,SalesGrowth_w_t1,joint_hurdle,Digital_any; Digital_hurdle_intensity,0.8730106988495677,2,0.6462910405916606,ok,0.8232879463952367
OP_DISTRIBUTED_LAG_SalesGrowth_w_t1,operating_optimized,exploratory,SalesGrowth_w_t1,joint_distributed_lag,Digital_z; Digital_lag1_z,0.33746368515208497,2,0.8447353950844335,ok,0.891665139255791
OP_BINS_SalesGrowth_w_t1,operating_semiparametric,exploratory,SalesGrowth_w_t1,joint_positive_bins,Digital_bin_Q1; Digital_bin_Q2; Digital_bin_Q3; Digital_bin_Q4,2.470286910491241,4,0.6499641682067658,ok,0.8232879463952367
OP_INTERNAL_COMPONENTS_SalesGrowth_w_t1,operating_internal_components,exploratory,SalesGrowth_w_t1,joint_internal_components,OperationalDigital_z; BMI_component_z,0.10456068392269506,2,0.9490627674275538,ok,0.9490627674275537
OP_POSITIVE_CUBIC_SalesGrowth_w_t1,operating_nonlinearity,exploratory,SalesGrowth_w_t1,joint_nonlinear_terms,Digital_positive_sq; Digital_positive_cube,1.9915862148969576,2,0.3694303303771929,ok,0.7496857398830533
OP_HURDLE_ROA_AvgAssets_w_t1,operating_optimized,exploratory,ROA_AvgAssets_w_t1,joint_hurdle,Digital_any; Digital_hurdle_intensity,3.1167765150970395,2,0.2104750295106785,ok,0.7496857398830533
OP_DISTRIBUTED_LAG_ROA_AvgAssets_w_t1,operating_optimized,exploratory,ROA_AvgAssets_w_t1,joint_distributed_lag,Digital_z; Digital_lag1_z,1.9560045418416507,2,0.3760616181648352,ok,0.7496857398830533
OP_BINS_ROA_AvgAssets_w_t1,operating_semiparametric,exploratory,ROA_AvgAssets_w_t1,joint_positive_bins,Digital_bin_Q1; Digital_bin_Q2; Digital_bin_Q3; Digital_bin_Q4,3.7620490879694906,4,0.4391656647419693,ok,0.7496857398830533
OP_INTERNAL_COMPONENTS_ROA_AvgAssets_w_t1,operating_internal_components,exploratory,ROA_AvgAssets_w_t1,joint_internal_components,OperationalDigital_z; BMI_component_z,2.1527732922630256,2,0.340824824058829,ok,0.7496857398830533
OP_POSITIVE_CUBIC_ROA_AvgAssets_w_t1,operating_nonlinearity,exploratory,ROA_AvgAssets_w_t1,joint_nonlinear_terms,Digital_positive_sq; Digital_positive_cube,1.0816347630269074,2,0.5822721193431795,ok,0.8232879463952367
OP_HURDLE_OperatingMargin_w_t1,operating_optimized,exploratory,OperatingMargin_w_t1,joint_hurdle,Digital_any; Digital_hurdle_intensity,1.5717641739480508,2,0.4557175419341569,ok,0.7496857398830533
OP_DISTRIBUTED_LAG_OperatingMargin_w_t1,operating_optimized,exploratory,OperatingMargin_w_t1,joint_distributed_lag,Digital_z; Digital_lag1_z,0.6076525667595714,2,0.7379890562805291,ok,0.8248112981958855
OP_BINS_OperatingMargin_w_t1,operating_semiparametric,exploratory,OperatingMargin_w_t1,joint_positive_bins,Digital_bin_Q1; Digital_bin_Q2; Digital_bin_Q3; Digital_bin_Q4,2.102945306081196,4,0.7168313010927404,ok,0.8248112981958855
OP_INTERNAL_COMPONENTS_OperatingMargin_w_t1,operating_internal_components,exploratory,OperatingMargin_w_t1,joint_internal_components,OperationalDigital_z; BMI_component_z,1.4952670062603308,2,0.4734857304524547,ok,0.7496857398830533
OP_POSITIVE_CUBIC_OperatingMargin_w_t1,operating_nonlinearity,exploratory,OperatingMargin_w_t1,joint_nonlinear_terms,Digital_positive_sq; Digital_positive_cube,2.5499243597633123,2,0.27944153653354054,ok,0.7496857398830533
CAR_EXPOSURE_PURE_SIGNAL,car_optimized,exploratory,AlignedCAR_0_p2_w,joint_pure_signal,Digital_z; PureSignal_z,4.014737513743499,2,0.1343416956866777,ok,0.7496857398830533
CAR_EXPOSURE_INTERNAL_COMPONENTS,car_optimized,exploratory,AlignedCAR_0_p2_w,joint_internal_components,OperationalDigital_z; BMI_component_z,4.516484826035655,2,0.10453405107798866,ok,0.7496857398830533
CAR_EXPOSURE_BOILERPLATE,car_optimized,exploratory,AlignedCAR_0_p2_w,joint_boilerplate,Digital_z; Boilerplate_z,3.6064103891355486,2,0.16476992129680818,ok,0.7496857398830533
CAR_EXPOSURE_MARKET_INTERACTION,car_optimized,exploratory,AlignedCAR_0_p2_w,joint_market_interaction,Digital_z; Digital_x_KOSDAQ_optimized,7.223306920775444,2,0.027007154667714334,ok,0.5131359386865724
