model_id,family,role,description,outcome,focal,coefficient,std_error,t_statistic,p_value,ci_95_low,ci_95_high,standardized_outcome_effect,n,firms,years,r_squared_within,control_count,controls,dropped_controls,effect_spec,covariance,sample_note,status,left_out_year,fdr_within_family
CAR_LEAVE_YEAR_2015,car_optimized,robustness,剔除2015年,AlignedCAR_0_p2_w,Digital_z,-0.002691547653814213,0.0014490749077920055,-1.8574247882846835,0.06327026287261583,-0.0055319107291005604,0.00014881542147213416,-0.04867276854715795,18623,2359,10.0,0.005150520554066507,12.0,FirmSize_w; Leverage_w; ROA_AvgAssets_w; SalesGrowth_w; Liquidity_w; OperatingMargin_w; FirmAgeLog_w; LossDummy; NegativeEquityDummy; LogTotalSentences; FiscalYearStockReturn_w; FiscalYearDailyVolatility_w,,firm_event_date,firm_event_date,leave out fiscal year 2015,ok,2015.0,0.1290305831263625
CAR_LEAVE_YEAR_2016,car_optimized,robustness,剔除2016年,AlignedCAR_0_p2_w,Digital_z,-0.0023775735236648272,0.0016712292834821045,-1.4226495114488498,0.1548607530008983,-0.005653414699487369,0.0008982676521577145,-0.04246263535502881,17039,2344,9.0,0.003536935960100629,12.0,FirmSize_w; Leverage_w; ROA_AvgAssets_w; SalesGrowth_w; Liquidity_w; OperatingMargin_w; FirmAgeLog_w; LossDummy; NegativeEquityDummy; LogTotalSentences; FiscalYearStockReturn_w; FiscalYearDailyVolatility_w,,firm_event_date,firm_event_date,leave out fiscal year 2016,ok,2016.0,0.21293353537623516
CAR_LEAVE_YEAR_2017,car_optimized,robustness,剔除2017年,AlignedCAR_0_p2_w,Digital_z,-0.0025794829181610586,0.0015912541153448034,-1.6210377043405912,0.10503288952099887,-0.005698563113335078,0.00053959727701296,-0.046551416210947605,16992,2358,9.0,0.005111591744857202,12.0,FirmSize_w; Leverage_w; ROA_AvgAssets_w; SalesGrowth_w; Liquidity_w; OperatingMargin_w; FirmAgeLog_w; LossDummy; NegativeEquityDummy; LogTotalSentences; FiscalYearStockReturn_w; FiscalYearDailyVolatility_w,,firm_event_date,firm_event_date,leave out fiscal year 2017,ok,2017.0,0.1593602461697914
CAR_LEAVE_YEAR_2018,car_optimized,robustness,剔除2018年,AlignedCAR_0_p2_w,Digital_z,-0.003211822183282542,0.0016042029783728783,-2.002129547559032,0.0452908600476114,-0.0063562854671055866,-6.735889945949777e-05,-0.056950646608042055,16917,2359,9.0,0.005094377298792696,12.0,FirmSize_w; Leverage_w; ROA_AvgAssets_w; SalesGrowth_w; Liquidity_w; OperatingMargin_w; FirmAgeLog_w; LossDummy; NegativeEquityDummy; LogTotalSentences; FiscalYearStockReturn_w; FiscalYearDailyVolatility_w,,firm_event_date,firm_event_date,leave out fiscal year 2018,ok,2018.0,0.1290305831263625
CAR_LEAVE_YEAR_2019,car_optimized,robustness,剔除2019年,AlignedCAR_0_p2_w,Digital_z,-0.0022929017952015083,0.001362966974570828,-1.6822871265266708,0.09253656768411744,-0.004964510250317342,0.0003787066599143245,-0.0449409963031079,16842,2359,9.0,0.0061620302862116505,12.0,FirmSize_w; Leverage_w; ROA_AvgAssets_w; SalesGrowth_w; Liquidity_w; OperatingMargin_w; FirmAgeLog_w; LossDummy; NegativeEquityDummy; LogTotalSentences; FiscalYearStockReturn_w; FiscalYearDailyVolatility_w,,firm_event_date,firm_event_date,leave out fiscal year 2019,ok,2019.0,0.1467106744538113
CAR_LEAVE_YEAR_2020,car_optimized,robustness,剔除2020年,AlignedCAR_0_p2_w,Digital_z,-0.0026240789814677193,0.001548078761736668,-1.6950552170381636,0.09008834614224459,-0.005658533645635885,0.00041037568270044667,-0.04716175280918208,16796,2359,9.0,0.003988875600783315,12.0,FirmSize_w; Leverage_w; ROA_AvgAssets_w; SalesGrowth_w; Liquidity_w; OperatingMargin_w; FirmAgeLog_w; LossDummy; NegativeEquityDummy; LogTotalSentences; FiscalYearStockReturn_w; FiscalYearDailyVolatility_w,,firm_event_date,firm_event_date,leave out fiscal year 2020,ok,2020.0,0.1467106744538113
CAR_LEAVE_YEAR_2021,car_optimized,robustness,剔除2021年,AlignedCAR_0_p2_w,Digital_z,-0.0032205672463109943,0.001570376128641674,-2.0508253962677614,0.040303562202649745,-0.006298728851717939,-0.00014240564090404985,-0.05733075052875853,16742,2358,9.0,0.006230234033075099,12.0,FirmSize_w; Leverage_w; ROA_AvgAssets_w; SalesGrowth_w; Liquidity_w; OperatingMargin_w; FirmAgeLog_w; LossDummy; NegativeEquityDummy; LogTotalSentences; FiscalYearStockReturn_w; FiscalYearDailyVolatility_w,,firm_event_date,firm_event_date,leave out fiscal year 2021,ok,2021.0,0.1290305831263625
CAR_LEAVE_YEAR_2022,car_optimized,robustness,剔除2022年,AlignedCAR_0_p2_w,Digital_z,-0.0015993272245989735,0.0015340453608489967,-1.0425553672766543,0.297173370309892,-0.004606276706677501,0.0014076222574795534,-0.028822441740839654,16675,2357,9.0,0.009414192107251806,12.0,FirmSize_w; Leverage_w; ROA_AvgAssets_w; SalesGrowth_w; Liquidity_w; OperatingMargin_w; FirmAgeLog_w; LossDummy; NegativeEquityDummy; LogTotalSentences; FiscalYearStockReturn_w; FiscalYearDailyVolatility_w,,firm_event_date,firm_event_date,leave out fiscal year 2022,ok,2022.0,0.3650411315885147
CAR_LEAVE_YEAR_2023,car_optimized,robustness,剔除2023年,AlignedCAR_0_p2_w,Digital_z,-0.0028575190069091544,0.001522399205159258,-1.876984037580491,0.0605424867211648,-0.005841642313476426,0.00012660429965811754,-0.05121419199056557,16609,2358,9.0,0.0029342814288731978,12.0,FirmSize_w; Leverage_w; ROA_AvgAssets_w; SalesGrowth_w; Liquidity_w; OperatingMargin_w; FirmAgeLog_w; LossDummy; NegativeEquityDummy; LogTotalSentences; FiscalYearStockReturn_w; FiscalYearDailyVolatility_w,,firm_event_date,firm_event_date,leave out fiscal year 2023,ok,2023.0,0.1290305831263625
CAR_LEAVE_YEAR_2024,car_optimized,robustness,剔除2024年,AlignedCAR_0_p2_w,Digital_z,-0.003093458426912849,0.0014316962193799362,-2.1606946955916513,0.030737078940784368,-0.005899791875503836,-0.00028712497832186247,-0.05520783977714815,16507,2358,9.0,0.004693704961257983,12.0,FirmSize_w; Leverage_w; ROA_AvgAssets_w; SalesGrowth_w; Liquidity_w; OperatingMargin_w; FirmAgeLog_w; LossDummy; NegativeEquityDummy; LogTotalSentences; FiscalYearStockReturn_w; FiscalYearDailyVolatility_w,,firm_event_date,firm_event_date,leave out fiscal year 2024,ok,2024.0,0.1290305831263625
CAR_LEAVE_YEAR_2025,car_optimized,robustness,剔除2025年,AlignedCAR_0_p2_w,Digital_z,-0.0036464634641604635,0.001722097088784599,-2.117455216612683,0.03424009932976979,-0.007022024908984634,-0.0002709020193362925,-0.06661742997819763,16488,2315,9.0,0.0050689708462150485,12.0,FirmSize_w; Leverage_w; ROA_AvgAssets_w; SalesGrowth_w; Liquidity_w; OperatingMargin_w; FirmAgeLog_w; LossDummy; NegativeEquityDummy; LogTotalSentences; FiscalYearStockReturn_w; FiscalYearDailyVolatility_w,,firm_event_date,firm_event_date,leave out fiscal year 2025,ok,2025.0,0.1290305831263625
