model_id,family,role,description,outcome,focal,coefficient,std_error,t_statistic,p_value,ci_95_low,ci_95_high,standardized_outcome_effect,n,firms,years,r_squared_within,control_count,controls,dropped_controls,effect_spec,covariance,sample_note,status,fdr_temporal_family
TEMPORAL_FULL_SalesGrowth_w_t1,operating_temporal_audit,robustness,完整样本,SalesGrowth_w_t1,Digital_z,0.00279109329210645,0.011979766970848816,0.23298393857728683,0.8157772374463597,-0.02069082102496949,0.026273007609182393,0.00724841463635755,16535,2324,9,0.06008330966620412,10,FirmSize_w; Leverage_w; ROA_AvgAssets_w; SalesGrowth_w; Liquidity_w; OperatingMargin_w; FirmAgeLog_w; LossDummy; NegativeEquityDummy; LogTotalSentences,,firm_year,firm,完整样本,ok,0.8701665346137828
TEMPORAL_FULL_ROA_AvgAssets_w_t1,operating_temporal_audit,robustness,完整样本,ROA_AvgAssets_w_t1,Digital_z,-0.0037094133534208307,0.0026547771150518228,-1.3972598047457634,0.16235734689220305,-0.008913125592566594,0.0014942988857249333,-0.0306053854177671,16521,2340,9,0.03916905419659844,10,FirmSize_w; Leverage_w; ROA_AvgAssets_w; SalesGrowth_w; Liquidity_w; OperatingMargin_w; FirmAgeLog_w; LossDummy; NegativeEquityDummy; LogTotalSentences,,firm_year,firm,完整样本,ok,0.6753521840137604
TEMPORAL_FULL_OperatingMargin_w_t1,operating_temporal_audit,robustness,完整样本,OperatingMargin_w_t1,Digital_z,-0.007374952792707249,0.00963264235038842,-0.7656209505598291,0.44391461890631123,-0.02625619663633319,0.01150629105091869,-0.013553060900804794,16521,2324,9,0.0917197651089936,10,FirmSize_w; Leverage_w; ROA_AvgAssets_w; SalesGrowth_w; Liquidity_w; OperatingMargin_w; FirmAgeLog_w; LossDummy; NegativeEquityDummy; LogTotalSentences,,firm_year,firm,完整样本,ok,0.6753521840137604
TEMPORAL_NO_CORRECTION_SalesGrowth_w_t1,operating_temporal_audit,robustness,仅未更正年报,SalesGrowth_w_t1,Digital_z,-0.005709499583267559,0.014009550093925724,-0.40754339325593975,0.6836171363461374,-0.03317083973998343,0.021751840573448308,-0.015519612993014898,12914,2265,9,0.04830585573154755,10,FirmSize_w; Leverage_w; ROA_AvgAssets_w; SalesGrowth_w; Liquidity_w; OperatingMargin_w; FirmAgeLog_w; LossDummy; NegativeEquityDummy; LogTotalSentences,,firm_year,firm,仅未更正年报,ok,0.8701665346137828
TEMPORAL_NO_CORRECTION_ROA_AvgAssets_w_t1,operating_temporal_audit,robustness,仅未更正年报,ROA_AvgAssets_w_t1,Digital_z,-0.0033462717374162076,0.003140863638129582,-1.0653986046363186,0.28671981806955493,-0.009502953290437051,0.0028104098156046357,-0.029175917754755348,12915,2281,9,0.041387956429213335,10,FirmSize_w; Leverage_w; ROA_AvgAssets_w; SalesGrowth_w; Liquidity_w; OperatingMargin_w; FirmAgeLog_w; LossDummy; NegativeEquityDummy; LogTotalSentences,,firm_year,firm,仅未更正年报,ok,0.6753521840137604
TEMPORAL_NO_CORRECTION_OperatingMargin_w_t1,operating_temporal_audit,robustness,仅未更正年报,OperatingMargin_w_t1,Digital_z,-0.012519922452539673,0.011178446969233004,-1.1200055327004617,0.26273671839561796,-0.03443177180066873,0.009391926895589384,-0.025306542752426543,12909,2265,9,0.0927931586427746,10,FirmSize_w; Leverage_w; ROA_AvgAssets_w; SalesGrowth_w; Liquidity_w; OperatingMargin_w; FirmAgeLog_w; LossDummy; NegativeEquityDummy; LogTotalSentences,,firm_year,firm,仅未更正年报,ok,0.6753521840137604
TEMPORAL_LAG_LE90_SalesGrowth_w_t1,operating_temporal_audit,robustness,文本更正滞后不超过90天,SalesGrowth_w_t1,Digital_z,-0.0025166723684020256,0.012852721048520045,-0.19580852637362836,0.8447632725918894,-0.027710023251660484,0.022676678514856434,-0.006703881085876699,14596,2285,9,0.0573113017689757,10,FirmSize_w; Leverage_w; ROA_AvgAssets_w; SalesGrowth_w; Liquidity_w; OperatingMargin_w; FirmAgeLog_w; LossDummy; NegativeEquityDummy; LogTotalSentences,,firm_year,firm,文本更正滞后不超过90天,ok,0.8701665346137828
TEMPORAL_LAG_LE90_ROA_AvgAssets_w_t1,operating_temporal_audit,robustness,文本更正滞后不超过90天,ROA_AvgAssets_w_t1,Digital_z,-0.0027863733327802534,0.0028464466352005405,-0.9788953350899359,0.3276510049053034,-0.00836585682898994,0.0027931101634294333,-0.02378625022259074,14584,2301,9,0.03596665100982366,10,FirmSize_w; Leverage_w; ROA_AvgAssets_w; SalesGrowth_w; Liquidity_w; OperatingMargin_w; FirmAgeLog_w; LossDummy; NegativeEquityDummy; LogTotalSentences,,firm_year,firm,文本更正滞后不超过90天,ok,0.6753521840137604
TEMPORAL_LAG_LE90_OperatingMargin_w_t1,operating_temporal_audit,robustness,文本更正滞后不超过90天,OperatingMargin_w_t1,Digital_z,-0.007974431674983438,0.010561492766701914,-0.7550477807573834,0.45023478934250694,-0.028676616940980816,0.01272775359101394,-0.01527698421152065,14587,2285,9,0.08825789477852275,10,FirmSize_w; Leverage_w; ROA_AvgAssets_w; SalesGrowth_w; Liquidity_w; OperatingMargin_w; FirmAgeLog_w; LossDummy; NegativeEquityDummy; LogTotalSentences,,firm_year,firm,文本更正滞后不超过90天,ok,0.6753521840137604
TEMPORAL_LAG_LE275_SalesGrowth_w_t1,operating_temporal_audit,robustness,文本更正滞后不超过275天,SalesGrowth_w_t1,Digital_z,-0.0019723165848109163,0.012066782805250507,-0.16345007750970048,0.8701665346137828,-0.025624906526476064,0.02168027335685423,-0.005135651755853504,15777,2320,9,0.05798113899226631,10,FirmSize_w; Leverage_w; ROA_AvgAssets_w; SalesGrowth_w; Liquidity_w; OperatingMargin_w; FirmAgeLog_w; LossDummy; NegativeEquityDummy; LogTotalSentences,,firm_year,firm,文本更正滞后不超过275天,ok,0.8701665346137828
TEMPORAL_LAG_LE275_ROA_AvgAssets_w_t1,operating_temporal_audit,robustness,文本更正滞后不超过275天,ROA_AvgAssets_w_t1,Digital_z,-0.0033595472703826755,0.002719804740550675,-1.2352163448698426,0.21677164129248716,-0.008690747863340832,0.0019716533225754805,-0.028137005945311683,15762,2336,9,0.03355989865669995,10,FirmSize_w; Leverage_w; ROA_AvgAssets_w; SalesGrowth_w; Liquidity_w; OperatingMargin_w; FirmAgeLog_w; LossDummy; NegativeEquityDummy; LogTotalSentences,,firm_year,firm,文本更正滞后不超过275天,ok,0.6753521840137604
