variable,n,mean,sd,min,p25,median,p75,max
DigitalStrategy,22654,0.0018461877547835787,0.0036052869669717567,0.0,0.0,0.0,0.002004008016032,0.0441609421000981
BMI_Reconstruction,22654,0.0009215783637785268,0.0021110735311048808,0.0,0.0,0.0,0.0009469696969696,0.0251572327044025
MarketSignalDisclosure,22654,0.0019053173072693145,0.00369162353226779,0.0,0.0,0.0,0.0020645161748547,0.0441609421000981
SalesGrowth_w_t1,19203,0.09620004570988396,0.39796949209649013,-0.7013776492648626,-0.0748813713054563,0.0413825255683282,0.17697775155901646,2.4262723398627424
ROA_AvgAssets_w_t1,19497,-0.0055031587166695485,0.12493413059156806,-0.5679706039364657,-0.0305500026024811,0.0198353847439555,0.0575221056457426,0.2459347612358754
OperatingMargin_w_t1,19477,-0.07526440622883933,0.590976766977391,-4.7013965497949455,-0.0194606975051856,0.0331201930204078,0.081502263068046,0.4130740327703171
CAR_0_p2_w,21801,0.005411334733930118,0.055465942084271316,-0.1290736502784913,-0.0221782826110276,-0.0002113253409044,0.0234169151446766,0.2509735872342262
FirmSize_w,22088,26.120831507823613,1.4617573598760993,23.212487840441128,25.121848229579264,25.881430679111382,26.89093804909989,31.073018165249795
Leverage_w,22075,0.40985317625797324,0.20943505393195894,0.0465367997461502,0.23784481556914955,0.4048697155177507,0.566727381935128,0.9118874194269962
ROA_AvgAssets_w,19497,-0.005503158716669551,0.12493413059156806,-0.5679706039364657,-0.0305500026024811,0.0198353847439555,0.0575221056457426,0.2459347612358754
SalesGrowth_w,19203,0.09620004570988396,0.3979694920964902,-0.7013776492648626,-0.0748813713054563,0.0413825255683282,0.17697775155901646,2.4262723398627424
Liquidity_w,22062,2.884322521552251,3.570498480407241,0.2612961476407882,1.0522492509692694,1.6600375818964845,3.0591289171192084,22.86038918954876
OperatingMargin_w,21601,-0.072305246637655,0.5924707457105612,-4.7013965497949455,-0.0158879629500414,0.0345506915842124,0.083646826298749,0.4130740327703171
FirmAgeLog_w,22654,3.1746758076393626,0.7247518758936167,0.6931471805599453,2.833213344056216,3.218875824868201,3.713572066704308,4.323713370108836
LossDummy,21902,0.3458588256780203,0.47565831068458087,0.0,0.0,0.0,1.0,1.0
NegativeEquityDummy,22039,0.004219792186578339,0.06482419463814483,0.0,0.0,0.0,0.0,1.0
LogTotalSentences,22654,6.958008147497464,0.31576187876610734,5.337538079701318,6.769641976852503,6.951772164398911,7.135687347028144,8.925587339030281
AssetTurnover_w,19333,0.7993005749568175,0.48320348945796027,0.028484356186766004,0.4597781198218347,0.722288169911099,1.0540049529717967,2.595882529999318
CurrentAssetRatio_w,22058,0.504090582390688,0.19046091546429053,0.07028762222003962,0.3713571420327278,0.5032518472624843,0.6378149088357731,0.9292955989880999
EmployeeLog_w,15914,5.236665424150878,1.2241445999449914,1.9459101490553128,4.465908118654584,5.161920636569022,5.916202062607435,8.85951821079335
LargestHolderGroupOwnership_w,19603,0.3932622229250625,0.17233320097524898,0.0497039999999999,0.2645,0.387,0.5101,0.8162639999999991
RAndDIntensityReported_w,13744,0.05959845023282886,0.10683119843535796,0.0001,0.0076,0.024,0.063,0.7
OutsideDirectorRatio_w,12268,0.3678522483719447,0.1522596680816931,0.0,0.25,0.3333333333333333,0.5,0.8
