,DigitalStrategy,BMI_Reconstruction,MarketSignalDisclosure,SalesGrowth_w_t1,ROA_AvgAssets_w_t1,OperatingMargin_w_t1,CAR_0_p2_w,FirmSize_w,Leverage_w,ROA_AvgAssets_w,SalesGrowth_w,Liquidity_w,OperatingMargin_w,FirmAgeLog_w,LossDummy,NegativeEquityDummy,LogTotalSentences,AssetTurnover_w,CurrentAssetRatio_w,EmployeeLog_w,LargestHolderGroupOwnership_w,RAndDIntensityReported_w,OutsideDirectorRatio_w
DigitalStrategy,1.0,0.8695338032321548,0.9973244455915878,0.04495501995212833,-0.07067070353034706,-0.07889683956053858,-0.029145435398885717,-0.11923692180413363,-0.061983133557765385,-0.06515709294646098,0.0474860893734288,0.06870982002187623,-0.08278312386402918,-0.15684904071982272,0.06233993217756971,0.004651633190692311,0.10555983680807449,-0.04395433672733536,0.1451548618221966,-0.024259812741161554,-0.04269832161662392,0.15511440823786987,-0.05417923451830863
BMI_Reconstruction,0.8695338032321548,1.0,0.8667309531147382,0.0367501622678267,-0.059312920856804945,-0.061518756251369607,-0.022082561960741712,-0.07285233076704309,-0.051561020394840784,-0.057716655231191676,0.041263234895457176,0.05629338696631341,-0.0679807772487935,-0.1301448237585297,0.057096484323408074,0.0040258747554922855,0.1023632253729885,-0.02918744886792958,0.11778343720853726,-0.011818643491271357,-0.0194802339334271,0.10812453527650336,-0.03349540534623511
MarketSignalDisclosure,0.9973244455915878,0.8667309531147382,1.0,0.04435759700451978,-0.07215200711115458,-0.0797533632579357,-0.029351107465803293,-0.11832138241576012,-0.061257047995053465,-0.06736525974414122,0.04676131438935684,0.06753504474364082,-0.08410870675150275,-0.1559661313024317,0.06416185186142236,0.005038749431554633,0.1103645277181601,-0.045149778780937,0.14477071001504788,-0.022618885159048266,-0.04426550188026169,0.1548520021516044,-0.053898099451288206
SalesGrowth_w_t1,0.04495501995212833,0.0367501622678267,0.04435759700451978,1.0,0.13291222833753452,0.05071892068480832,-0.018096934698139257,-0.039302239379786524,0.00568560719319885,-0.07093907246484037,0.038613483693324936,0.03452003653092308,-0.20954122717794862,-0.09903820146383038,0.06027183690622877,-0.0413274359520043,0.009327793311976331,-0.14185772464641794,0.02197989860511567,-0.05532546633386448,-0.021745952312800933,0.11709392738075006,-0.02899814609006371
ROA_AvgAssets_w_t1,-0.07067070353034706,-0.059312920856804945,-0.07215200711115458,0.13291222833753452,1.0,0.5391847651968048,-0.025388135548819437,0.24704743564386172,-0.14463663778549232,0.5948315281306975,0.05841099986561068,0.006835923167628902,0.4553009997487909,0.08275074811345916,-0.4709008490120414,-0.05982111669917373,-0.021647998364406583,0.23522379037468774,0.036661986353541315,0.2543569096275406,0.2683620995257133,-0.20425400510317188,0.048224973835448284
OperatingMargin_w_t1,-0.07889683956053858,-0.061518756251369607,-0.0797533632579357,0.05071892068480832,0.5391847651968048,1.0,-0.00769458386734104,0.20038935266438088,0.009476035229068473,0.4518927581968091,0.015614879749339393,-0.15201715758959194,0.8258523196974299,0.1092522700922097,-0.310360853230347,-0.09014867287392728,-0.030733619332323953,0.24066989702898406,-0.047925155606676546,0.20586331112137382,0.1761961277344128,-0.35685295261276767,0.04934200842283193
CAR_0_p2_w,-0.029145435398885717,-0.022082561960741712,-0.029351107465803293,-0.018096934698139257,-0.025388135548819437,-0.00769458386734104,1.0,-0.02629142696973001,0.009573616213055693,-0.027114706067498735,0.0004983914789907938,-0.008421502611375677,-0.0017425470478387847,0.015294542357783698,0.022825191016050288,-0.006481742300625577,-0.0012436146917825185,-0.00021919227147632555,-0.013566848738990627,-0.03543114035888217,-0.0039041489363070996,-0.015109584089146562,-0.0021931558115612895
FirmSize_w,-0.11923692180413363,-0.07285233076704309,-0.11832138241576012,-0.039302239379786524,0.24704743564386172,0.20038935266438088,-0.02629142696973001,1.0,0.260318565615941,0.2915624594037569,0.022055857778929842,-0.24238884895794888,0.2126975661962209,0.23208930909995726,-0.2535580749155411,-0.06481545591631944,0.5939677140285826,0.12331235706012314,-0.2559564824471316,0.6866645388700496,0.20298474766924043,-0.21867584218625777,0.3449764106583359
Leverage_w,-0.061983133557765385,-0.051561020394840784,-0.061257047995053465,0.00568560719319885,-0.14463663778549232,0.009476035229068473,0.009573616213055693,0.260318565615941,1.0,-0.2615938870019075,0.027326734859819315,-0.6035316537089805,-0.01862273049590623,0.07923564943231562,0.21645716695264158,0.15537922691808545,0.2546026714169356,0.21644695179213944,-0.21709726213827552,0.20931076920263517,-0.07529920393233568,-0.13508546252903536,0.08474736271253751
ROA_AvgAssets_w,-0.06515709294646098,-0.057716655231191676,-0.06736525974414122,-0.07093907246484037,0.5948315281306975,0.4518927581968091,-0.027114706067498735,0.2915624594037569,-0.2615938870019075,1.0,0.13291222833753452,0.07038938126455514,0.5391847651968048,0.08481976364893938,-0.6894801548963829,-0.2020990656150816,-0.019434779112253296,0.2770306404030915,0.06941926284025791,0.2838539320773767,0.28246396118724454,-0.23955286692483022,0.05599940370369381
