set,variable,vif,n
core_10_controls,FirmSize_w,2.130136059798966,18914
core_10_controls,Leverage_w,1.9027910829923913,18914
core_10_controls,ROA_AvgAssets_w,2.6418160962923345,18914
core_10_controls,SalesGrowth_w,1.0418395592297094,18914
core_10_controls,Liquidity_w,1.6428723676218682,18914
core_10_controls,OperatingMargin_w,1.4842523795117954,18914
core_10_controls,FirmAgeLog_w,1.0758540911442427,18914
core_10_controls,LossDummy,1.971391256601169,18914
core_10_controls,NegativeEquityDummy,1.0666460738293964,18914
core_10_controls,LogTotalSentences,1.7686736649214263,18914
augmented_14_controls,FirmSize_w,2.9357307840391664,11542
augmented_14_controls,Leverage_w,2.0482304689340927,11542
augmented_14_controls,ROA_AvgAssets_w,2.79879618942967,11542
augmented_14_controls,SalesGrowth_w,1.0602903896636446,11542
augmented_14_controls,Liquidity_w,1.9768033116426125,11542
augmented_14_controls,OperatingMargin_w,1.5258455349296791,11542
augmented_14_controls,FirmAgeLog_w,1.1032954127689427,11542
augmented_14_controls,LossDummy,2.037899151522978,11542
augmented_14_controls,NegativeEquityDummy,1.0731572467423198,11542
augmented_14_controls,LogTotalSentences,1.71131763118024,11542
augmented_14_controls,AssetTurnover_w,1.561320628368445,11542
augmented_14_controls,CurrentAssetRatio_w,1.421559612872965,11542
augmented_14_controls,EmployeeLog_w,1.9966705869300942,11542
augmented_14_controls,LargestHolderGroupOwnership_w,1.1624641646756215,11542
