hypothesis,statement,outcome,coefficient,p_value,within_hypothesis_fdr,expected_sign,direction_consistent,supported_at_5pct,paperwise_fdr_all_hypothesis_tests
H1,数字化战略提高后续经营绩效,SalesGrowth_w_t1,0.00279109329210645,0.8157772374463597,0.8157772374463597,1,True,False,0.9361184402761037
H1,数字化战略提高后续经营绩效,ROA_AvgAssets_w_t1,-0.0037094133534208307,0.16235734689220305,0.48707204067660914,1,False,False,0.48707204067660914
H1,数字化战略提高后续经营绩效,OperatingMargin_w_t1,-0.007374952792707249,0.44391461890631123,0.6658719283594668,1,False,False,0.7609964895536764
H2,BMI重构强化数字化战略的经营效果,SalesGrowth_w_t1,-0.010257560131836862,0.5187530077329932,0.9361184402761037,1,False,False,0.7781295115994897
H2,BMI重构强化数字化战略的经营效果,ROA_AvgAssets_w_t1,-0.0002533802935116102,0.9361184402761038,0.9361184402761037,1,False,False,0.9361184402761037
H2,BMI重构强化数字化战略的经营效果,OperatingMargin_w_t1,0.0041453865722350805,0.659479002407581,0.9361184402761037,1,True,False,0.8793053365434412
H3,数字化战略获得正向短期资本市场反应,CAR_0_p2_w,-0.0032790211013792874,0.010979153019260224,0.010979153019260224,1,False,False,0.13174983623112269
H4,信号超过实质行动时资本市场反应减弱,CAR_0_p2_w,0.0003623258889695073,0.16193435924042876,0.16193435924042876,-1,False,False,0.48707204067660914
H5,KOSDAQ中的数字化战略边际效应更强,SalesGrowth_w_t1,-0.02630603130948512,0.32133264462837285,0.4284435261711638,1,False,False,0.6426652892567457
H5,KOSDAQ中的数字化战略边际效应更强,ROA_AvgAssets_w_t1,-0.0007726444847103985,0.8913584566209813,0.8913584566209813,1,False,False,0.9361184402761037
H5,KOSDAQ中的数字化战略边际效应更强,OperatingMargin_w_t1,-0.014263317340521511,0.27594669382935866,0.4284435261711638,1,False,False,0.6426652892567457
H5,KOSDAQ中的数字化战略边际效应更强,CAR_0_p2_w,0.004048465128928025,0.15114299679717114,0.4284435261711638,1,True,False,0.48707204067660914
