model_id,outcome,term,coefficient,std_error,t_value,p_value,ci95_low,ci95_high,N,firms,years,within_R2,effects,cluster,control_count,q_BH_within_paper2,q_BY_within_paper2
M00_BASELINE_REPRODUCED,FutureAssetTurnover_h2,BMI_component_z,0.030243177005377094,0.00689542063847699,4.385979999047162,1.2130720546106924e-05,0.016720428517664507,0.04376592549308968,13980,2054,8,0.05563238610007881,corp_code+year,firm,13,6.434984877177231e-05,0.00022829651041881527
M01_PLUS_RANDD_OPENDART,FutureAssetTurnover_h2,BMI_component_z,0.021138319244864427,0.026576621866763794,0.7953726907368764,0.4284440454829705,-0.031645145795499346,0.07392178428522819,546,93,8,0.1330734781598263,corp_code+year,firm,14,0.4788492273044964,1.0
M02_PLUS_INTANGIBLE,FutureAssetTurnover_h2,BMI_component_z,0.030284465165358106,0.006950630820363848,4.357081529439193,1.3836982263446709e-05,0.01665336776463694,0.04391556256607927,13784,2035,8,0.0548557072824577,corp_code+year,firm,14,6.434984877177231e-05,0.00022829651041881527
M03_PLUS_PPE,FutureAssetTurnover_h2,BMI_component_z,0.0304069787743418,0.006922784799324435,4.392304492450652,1.1788522599124538e-05,0.016830534549107122,0.04398342299957648,13937,2046,8,0.0559109263271127,corp_code+year,firm,14,6.434984877177231e-05,0.00022829651041881527
M04_PLUS_OPERATING_CF,FutureAssetTurnover_h2,BMI_component_z,0.030240754698979258,0.0069449311401828615,4.354363504629797,1.4004853854112213e-05,0.01662087479173329,0.043860634606225225,13874,2045,8,0.05549513038600662,corp_code+year,firm,14,6.434984877177231e-05,0.00022829651041881527
M05_PLUS_CAPEX,FutureAssetTurnover_h2,BMI_component_z,0.02957719055493434,0.007418881290134071,3.986745359339728,6.94594244336391e-05,0.015027400901640686,0.044126980208228,12886,1947,8,0.05882224188120799,corp_code+year,firm,14,0.00018853272346273472,0.000668865019698047
M06_PLUS_HIGH_COVERAGE_EXTENDED,FutureAssetTurnover_h2,BMI_component_z,0.029818430076344958,0.00754171778688994,3.953798182183307,7.969474898082453e-05,0.01502765916689125,0.04460920098579867,12658,1931,8,0.058462271097799,corp_code+year,firm,17,0.00018927502882945828,0.0006714985258852828
M07_PLUS_ALL_EXTENDED_WITH_RANDD,FutureAssetTurnover_h2,BMI_component_z,0.024829344395791795,0.024022767335552135,1.0335755264567699,0.30437334078813993,-0.022959592458596346,0.07261828125017994,480,83,8,0.12335615039719594,corp_code+year,firm,18,0.3855395649983106,1.0
M08_PLUS_REPORTED_RANDD_TEXT,FutureAssetTurnover_h2,BMI_component_z,0.029935843370763774,0.009804666957536826,3.0532238882170453,0.002307301523366225,0.010702167882698687,0.049169518858828865,8929,1380,8,0.06021268969718008,corp_code+year,firm,14,0.004383872894395827,0.015552839719325333
M09_BMI_AND_NONBMI_DISCLOSURE,FutureAssetTurnover_h2,BMI_component_z,0.031246658403723853,0.007246211338631393,4.312137328529183,1.6934170729413765e-05,0.017035967198848135,0.04545734960859957,13980,2054,8,0.055749796940720464,corp_code+year,firm,13,6.434984877177231e-05,0.00022829651041881527
M09_BMI_AND_NONBMI_DISCLOSURE,FutureAssetTurnover_h2,NonBMI_share_z,-0.005952532294244828,0.007112426125049765,-0.8369200874059243,0.40273489568383647,-0.019900854618454426,0.00799579002996477,13980,2054,8,0.055749796940720464,corp_code+year,firm,13,0.47824768862455586,1.0
M10_ANY_BMI_DISCLOSURE,FutureAssetTurnover_h2,BMIDisclosureAny,0.01659757038418735,0.008903509156624252,1.864160534033784,0.06244179369854952,-0.000863280997559366,0.03405842176593407,13980,2054,8,0.05271953681502839,corp_code+year,firm,13,0.08474243430517435,0.30064409482736026
M11_KOSPI_BASELINE,FutureAssetTurnover_h2,BMI_component_z,0.02757210880505984,0.011755119023755421,2.3455405895372508,0.019283851914429447,0.0044917181093767355,0.050652499500742944,5001,686,8,0.08724036215098929,corp_code+year,firm,13,0.02818409125955073,0.09998981826206475
M12_KOSDAQ_BASELINE,FutureAssetTurnover_h2,BMI_component_z,0.03208851893428998,0.008019607481321047,4.001258042744523,6.638391558600056e-05,0.01635644787362875,0.047820589994951215,8979,1368,8,0.04650045506939249,corp_code+year,firm,13,0.00018853272346273472,0.000668865019698047
M13_H1_BASELINE,FutureAssetTurnover_h1,BMI_component_z,0.014978015875603316,0.004794554080463024,3.1239643195675137,0.001807933162094788,0.00557560852407891,0.024380423227127725,16246,2167,9,0.2941433419867452,corp_code+year,firm,13,0.0038167477866445526,0.013540827483994253
M14_H3_BASELINE,FutureAssetTurnover_h3,BMI_component_z,0.02763368780880063,0.009756617016242633,2.832302196836935,0.004669032647921159,0.008499156515710597,0.04676821910189066,11857,1945,7,0.031369468958415414,corp_code+year,firm,13,0.007392635025875168,0.026227144452086747
M15_CHANGE_OUTCOME,AssetTurnoverChange_h2,BMI_component_z,0.023180012850058853,0.00789990810491467,2.9342129733937243,0.0033810465650584293,0.007687343732428525,0.03867268196768918,13980,2054,8,0.12185152842218261,corp_code+year,firm,12,0.005839989521464559,0.020718762422603374
M16_FUTURE_BMI_PLACEBO,AssetTurnover_w,FutureBMI_h2,0.002624269869942939,0.006641827060998533,0.3951126468427508,0.6928005842196092,-0.010401110188807454,0.015649649928693332,14064,2065,8,0.2466818780577087,corp_code+year,firm,12,0.731289505565143,1.0
M17_PRE_TREND_PLACEBO,PreDisclosureTurnoverTrend,BMI_component_z,-0.0006009655729922284,0.006089520431899889,-0.09868848946529131,0.921394995836246,-0.012543066366729744,0.011341135220745287,14471,2108,8,0.28600552232779886,corp_code+year,firm,1,0.921394995836246,1.0
