column,train_missing,test_missing,train_missing_rate,test_missing_rate
Age,0,0.0,0.0,0.0
Annual_Income_USD,0,0.0,0.0,0.0
Charging_Stations_Near_Home,0,0.0,0.0,0.0
Charging_Stations_Near_Work,0,0.0,0.0,0.0
City_Type,0,0.0,0.0,0.0
Current_Car_Type,0,0.0,0.0,0.0
Daily_Commute_km,0,0.0,0.0,0.0
Environmental_Concern_Level,0,0.0,0.0,0.0
Gender,0,0.0,0.0,0.0
Home_Charging_Possible,0,0.0,0.0,0.0
Number_of_Cars_Owned,0,0.0,0.0,0.0
Range_Anxiety_Level,0,0.0,0.0,0.0
Subsidy_Available,0,0.0,0.0,0.0
Will_Buy_EV,0,,0.0,
id,0,0.0,0.0,0.0
