age_band,income_band,city_type,customers,observed_purchase_rate,average_income,average_commute_km
55+,60k-90k,Urban,37612,0.1192,76134.62,32.75
55+,60k-90k,Suburban,32725,0.1356,76239.36,32.31
55+,90k-120k,Urban,28965,0.1979,100996.98,32.4
35-44,60k-90k,Urban,26969,0.1247,76231.54,32.82
55+,90k-120k,Suburban,26645,0.2249,101226.19,31.98
45-54,60k-90k,Urban,26469,0.1303,76262.59,32.84
Under 35,60k-90k,Urban,24857,0.1297,76157.93,33.12
45-54,60k-90k,Suburban,23259,0.1463,76348.33,32.47
35-44,60k-90k,Suburban,22458,0.1406,76410.32,32.37
Under 35,60k-90k,Suburban,21333,0.1389,76279.79,32.64
45-54,90k-120k,Urban,20455,0.2227,101028.22,32.27
35-44,90k-120k,Urban,20347,0.2049,101026.05,32.35
Under 35,90k-120k,Urban,19120,0.2081,100962.51,33.04
45-54,90k-120k,Suburban,18683,0.2389,101259.39,32.01
35-44,90k-120k,Suburban,18081,0.2329,101132.67,32.22
Under 35,90k-120k,Suburban,17603,0.2334,101199.92,32.39
55+,Under 60k,Urban,16459,0.0527,41116.79,32.83
55+,60k-90k,Rural,16005,0.1479,76100.58,30.57
55+,Under 60k,Suburban,14365,0.0606,41167.58,31.37
55+,90k-120k,Rural,12438,0.2524,102831.04,30.43
35-44,Under 60k,Urban,11673,0.0602,41442.52,32.76
45-54,Under 60k,Urban,11583,0.061,41116.44,32.6
55+,120k+,Urban,11216,0.3139,132755.4,33.27
45-54,60k-90k,Rural,10981,0.1606,76160.74,30.59
Under 35,Under 60k,Urban,10581,0.0593,41272.54,32.86
35-44,60k-90k,Rural,10525,0.1476,76238.29,30.97
45-54,Under 60k,Suburban,10210,0.0744,41005.6,31.61
55+,120k+,Suburban,10164,0.3286,132877.16,32.98
35-44,Under 60k,Suburban,9751,0.0682,41269.4,31.43
Under 35,60k-90k,Rural,9655,0.1392,76015.46,31.06
Under 35,Under 60k,Suburban,8965,0.0696,41605.1,31.56
45-54,90k-120k,Rural,8586,0.2721,103010.3,30.65
35-44,90k-120k,Rural,8225,0.2603,102733.8,30.67
55+,Under 60k,Rural,7990,0.0701,40554.55,30.02
35-44,120k+,Urban,7941,0.3149,132655.78,32.85
Under 35,90k-120k,Rural,7927,0.2589,102862.5,30.67
45-54,120k+,Urban,7840,0.3204,132568.31,32.64
45-54,120k+,Suburban,7252,0.358,132792.54,32.53
Under 35,120k+,Urban,7218,0.3053,132702.66,33.77
35-44,120k+,Suburban,7103,0.3311,132988.03,33.23
Under 35,120k+,Suburban,6780,0.3341,132819.2,32.64
45-54,Under 60k,Rural,5400,0.0746,41017.67,29.7
55+,120k+,Rural,5397,0.3357,132734.26,30.99
35-44,Under 60k,Rural,5346,0.0707,40354.29,29.95
Under 35,Under 60k,Rural,4878,0.0769,40608.58,30.49
45-54,120k+,Rural,3657,0.3757,132839.17,30.65
35-44,120k+,Rural,3549,0.3401,132762.12,30.79
Under 35,120k+,Rural,3424,0.3423,133135.29,31.44
