source_set,city_type,subsidy_available,home_charging_possible,range_anxiety_level,customers,average_propensity,average_nearby_stations
test,Urban,Yes,Yes,Low,30776,0.312341,18.99
test,Rural,Yes,Yes,Low,33508,0.304198,2.69
test,Suburban,Yes,Yes,Low,62133,0.300017,8.83
test,Suburban,Yes,No,Low,2371,0.271936,9.95
test,Urban,Yes,No,Low,35225,0.266763,20.48
test,Rural,Yes,No,Low,114,0.227092,3.18
test,Urban,Yes,Yes,Medium,7,0.177074,16.71
test,Rural,Yes,No,Medium,826,0.069899,2.71
test,Urban,Yes,No,Medium,10497,0.069401,14.72
test,Suburban,Yes,No,Medium,4004,0.064221,8.41
test,Rural,Yes,Yes,Medium,190,0.062791,2.02
test,Suburban,Yes,Yes,Medium,102,0.048771,5.96
test,Urban,Yes,No,High,169,0.011479,11.87
test,Rural,Yes,No,High,126,0.010516,2.83
test,Suburban,Yes,No,High,330,0.010456,7.0
test,Rural,No,Yes,Low,17776,0.007273,2.69
test,Rural,No,No,Low,63,0.006722,3.16
test,Urban,No,Yes,Low,17629,0.006434,19.04
test,Suburban,No,Yes,Low,36177,0.006336,8.87
test,Urban,No,No,Low,21955,0.005692,20.53
test,Suburban,No,No,Low,1520,0.005647,10.11
test,Urban,No,Yes,Medium,5,0.002777,10.8
test,Suburban,No,Yes,Medium,67,0.00174,6.09
test,Rural,No,Yes,Medium,109,0.001461,2.06
test,Urban,No,No,Medium,7242,0.00143,14.67
test,Rural,No,No,Medium,484,0.001377,2.73
test,Suburban,No,No,Medium,2762,0.001356,8.39
test,Suburban,No,No,High,210,0.000798,6.99
test,Rural,No,No,High,96,0.000754,2.39
test,Urban,No,No,High,97,0.000647,12.23
test,Rural,No,Yes,High,1,0.000463,3.0
train,Urban,Yes,Yes,Low,71809,0.312909,19.03
train,Rural,Yes,Yes,Low,77809,0.303102,2.68
train,Suburban,Yes,Yes,Low,144076,0.30264,8.86
train,Suburban,Yes,No,Low,5542,0.270324,10.09
train,Urban,Yes,No,Low,81892,0.266553,20.47
train,Rural,Yes,No,Low,258,0.252312,3.02
train,Urban,Yes,Yes,Medium,15,0.101871,15.67
train,Suburban,Yes,Yes,Medium,255,0.08265,6.23
train,Rural,Yes,Yes,Medium,461,0.074676,2.06
train,Urban,Yes,No,Medium,25073,0.07089,14.72
train,Suburban,Yes,No,Medium,9502,0.067176,8.47
train,Rural,Yes,No,Medium,1910,0.064391,2.72
train,Urban,Yes,No,High,292,0.01255,12.08
train,Rural,Yes,No,High,313,0.010946,2.6
train,Suburban,Yes,No,High,702,0.009964,7.07
train,Rural,No,Yes,Low,41384,0.007063,2.68
train,Rural,No,No,Low,162,0.006768,3.16
train,Urban,No,Yes,Low,41807,0.006523,19.04
train,Suburban,No,No,Low,3574,0.006386,10.11
train,Suburban,No,Yes,Low,84654,0.00625,8.91
train,Urban,No,No,Low,51005,0.005771,20.48
train,Urban,No,Yes,Medium,5,0.001641,14.2
train,Suburban,No,Yes,Medium,147,0.001534,5.78
train,Rural,No,Yes,Medium,255,0.001452,2.21
train,Suburban,No,No,Medium,6450,0.001437,8.52
train,Urban,No,No,Medium,17188,0.001398,14.76
train,Rural,No,No,Medium,1238,0.001384,2.72
train,Rural,No,No,High,193,0.00079,2.8
train,Urban,No,No,High,219,0.000757,12.52
train,Suburban,No,No,High,475,0.000716,6.99
