source_set,city_type,current_car_type,subsidy_available,customers,average_probability,observed_purchase_rate,average_income
test,Suburban,Sedan,Yes,5099,0.81833815,,107401.81
test,Urban,Sedan,Yes,5056,0.81947378,,107698.28
test,Suburban,SUV,Yes,4418,0.81626957,,106037.92
test,Urban,SUV,Yes,4310,0.81695316,,106687.83
test,Rural,Sedan,Yes,2693,0.82028918,,108228.51
test,Rural,SUV,Yes,2330,0.8193947,,107807.67
test,Suburban,Hatchback,Yes,1295,0.82076257,,108484.39
test,Urban,Hatchback,Yes,1272,0.81691696,,107806.18
test,Rural,Hatchback,Yes,794,0.81969453,,109495.13
test,Urban,Truck,Yes,552,0.82053109,,107706.02
test,Suburban,Truck,Yes,528,0.80994844,,106804.88
test,Rural,Truck,Yes,301,0.82013917,,109666.17
test,Urban,SUV,No,3,0.75679406,,119674.67
test,Suburban,Sedan,No,2,0.80759769,,125820.0
test,Suburban,SUV,No,1,0.71845401,,128123.0
test,Urban,Truck,No,1,0.81352087,,128123.0
test,Rural,Sedan,No,1,0.74728156,,92155.0
test,Urban,Sedan,No,1,0.82454188,,113258.0
train,Urban,Sedan,Yes,11999,0.82138098,0.8193,107797.44
train,Suburban,Sedan,Yes,11642,0.81966702,0.8204,107615.23
train,Suburban,SUV,Yes,10565,0.81712022,0.823,106370.81
train,Urban,SUV,Yes,9988,0.81706687,0.8151,106354.86
train,Rural,Sedan,Yes,6315,0.82247425,0.8269,108418.24
train,Rural,SUV,Yes,5288,0.81795594,0.8084,107067.58
train,Suburban,Hatchback,Yes,3061,0.81762389,0.8249,107407.22
train,Urban,Hatchback,Yes,2955,0.81916867,0.8098,107329.27
train,Rural,Hatchback,Yes,1744,0.8213357,0.8217,107621.11
train,Urban,Truck,Yes,1301,0.81882511,0.8309,107558.15
train,Suburban,Truck,Yes,1290,0.81364606,0.7977,107299.9
train,Rural,Truck,Yes,695,0.82317681,0.8201,108924.46
train,Urban,SUV,No,8,0.81475435,1.0,120348.0
train,Urban,Sedan,No,3,0.81911575,1.0,129536.0
train,Suburban,Sedan,No,3,0.81224623,1.0,126919.0
train,Urban,Hatchback,No,3,0.78051511,1.0,141550.0
train,Suburban,SUV,No,2,0.77153681,1.0,133323.0
train,Urban,Truck,No,2,0.83136693,1.0,121369.5
train,Rural,Sedan,No,1,0.84641731,1.0,114273.0
train,Rural,SUV,No,1,0.75579812,1.0,174836.0
