metric,python_value,sql_value,absolute_difference,tolerance,status
overall_purchase_rate,0.17464500160768098,0.17464500160768098,0.0,1e-10,PASS
high_potential_share,0.19986369860432396,0.19986369860432396,0.0,1e-10,PASS
subsidy_yes_purchase_rate,0.2746952315858912,0.2746952315858912,0.0,1e-10,PASS
subsidy_no_purchase_rate,0.0057566450658476575,0.0057566450658476575,0.0,1e-10,PASS
home_charge_yes_purchase_rate,0.1958191135500576,0.1958191135500576,0.0,1e-10,PASS
home_charge_no_purchase_rate,0.12708507291686894,0.12708507291686894,0.0,1e-10,PASS
segment_count::Eco-Motivated,66355.0,66355.0,0.0,1e-10,PASS
segment_purchase_rate::Eco-Motivated,0.1681561299073167,0.1681561299073167,0.0,1e-10,PASS
segment_count::High Potential,133733.0,133733.0,0.0,1e-10,PASS
segment_purchase_rate::High Potential,0.670814234332588,0.670814234332588,0.0,1e-10,PASS
segment_count::Infrastructure-Constrained,2505.0,2505.0,0.0,1e-10,PASS
segment_purchase_rate::Infrastructure-Constrained,0.10419161676646707,0.10419161676646707,0.0,1e-10,PASS
segment_count::Low Propensity,200600.0,200600.0,0.0,1e-10,PASS
segment_purchase_rate::Low Propensity,0.0011365902293120637,0.0011365902293120637,0.0,1e-10,PASS
segment_count::Moderate Potential,198905.0,198905.0,0.0,1e-10,PASS
segment_purchase_rate::Moderate Potential,0.06018953771901159,0.06018953771901159,0.0,1e-10,PASS
segment_count::Price-Sensitive,66567.0,66567.0,0.0,1e-10,PASS
segment_purchase_rate::Price-Sensitive,0.05182748208571815,0.05182748208571815,0.0,1e-10,PASS
