feature,mean_abs_shap,direction_correlation
Environmental_Concern_Level,1.7227796,0.9947842681794853
Subsidy_Available,1.6620955,0.9976631842683132
Annual_Income_USD,0.55608815,0.9020771860924067
Range_Anxiety_Level,0.19144496,-0.9907010184292533
Age,0.1102337,-0.2335902340283859
Daily_Commute_km,0.09531203,-0.5122542958978835
Home_Charging_Possible,0.07379285,0.9742795941965999
Charging_Stations_Near_Home,0.057347,0.09460696350065138
Charging_Stations_Near_Work,0.026502704,-0.0789400056322979
Current_Car_Type,0.02091758,-0.0023135921083905645
