segment_variable,segment_value,customer_count,purchase_rate,difference_vs_overall
Home_Charging_Possible,No,205988,0.12708507291686894,-0.04755992869081205
Home_Charging_Possible,Yes,462677,0.1958191135500576,0.021174111942376617
Charging_Stations_Near_Home_quintile,"(-0.001, 1.0]",138042,0.19147071181234696,0.016825710204665972
Charging_Stations_Near_Home_quintile,"(1.0, 3.0]",160392,0.17831936754950373,0.0036743659418227437
Charging_Stations_Near_Home_quintile,"(3.0, 5.0]",106678,0.16346388196254147,-0.011181119645139515
Charging_Stations_Near_Home_quintile,"(5.0, 8.0]",133962,0.16516624117286993,-0.009478760434811051
Charging_Stations_Near_Home_quintile,"(8.0, 14.0]",129591,0.17117701074920327,-0.0034679908584777097
Charging_Stations_Near_Work_quintile,"(-0.001, 3.0]",208686,0.18267157356027716,0.008026571952596179
Charging_Stations_Near_Work_quintile,"(12.0, 19.0]",124117,0.16995254477629979,-0.004692456831381198
Charging_Stations_Near_Work_quintile,"(3.0, 5.0]",92209,0.17438644817750978,-0.0002585534301711989
Charging_Stations_Near_Work_quintile,"(5.0, 8.0]",145372,0.17075502847866164,-0.0038899731290193418
Charging_Stations_Near_Work_quintile,"(8.0, 12.0]",98281,0.16952411961620253,-0.005120881991478449
