model,number,value,duration,params_colsample_bytree,params_learning_rate,params_min_child_samples,params_n_estimators,params_num_leaves,params_reg_lambda,params_subsample,state,params_max_depth,params_min_child_weight
LightGBM,0,0.9381066646343879,0 days 00:00:08.168380,0.7467983561008608,0.07471658997996457,68.0,600,64.0,0.1289847424193069,0.7468055921327309,COMPLETE,,
LightGBM,1,0.9382937377620847,0 days 00:00:13.193855,0.9497327922401265,0.04601901242650019,21.0,1000,63.0,0.25357149746909247,0.9909729556485982,COMPLETE,,
LightGBM,2,0.9407681072039766,0 days 00:00:07.786274,0.7873687420594125,0.02578995077917459,62.0,500,38.0,1.4601958757320883,0.8295835055926347,COMPLETE,,
LightGBM,3,0.9408021636435112,0 days 00:00:06.978154,0.7599021346475079,0.029986004389261193,56.0,400,42.0,0.9519944372819868,0.935552788417904,COMPLETE,,
LightGBM,4,0.9401273850216301,0 days 00:00:12.635531,0.984665661176,0.021330249270153537,33.0,800,57.0,6.881524386672037,0.7195154778955838,COMPLETE,,
LightGBM,5,0.9407047259766835,0 days 00:00:09.298110,0.7366114704534336,0.03050884446630929,75.0,900,25.0,0.8757219176818283,0.8320457481218804,COMPLETE,,
LightGBM,6,0.9400334890980012,0 days 00:00:05.643430,0.8560204063533432,0.07054974186565965,73.0,400,35.0,1.0975867570405666,0.7935133228268233,COMPLETE,,
LightGBM,7,0.9385036039631439,0 days 00:00:08.493278,0.8793699936433255,0.07669695256086546,96.0,500,67.0,5.680801652040021,0.9684482051282947,COMPLETE,,
LightGBM,8,0.9409223490913391,0 days 00:00:05.612868,0.7814047095321688,0.026243601595987202,46.0,400,22.0,3.7771310699630782,0.8166031869068446,COMPLETE,,
LightGBM,9,0.9405486039670873,0 days 00:00:09.189696,0.7223651931039312,0.029523607577565045,31.0,600,53.0,7.55326370453035,0.9406590942262119,COMPLETE,,
LightGBM,10,0.9384360206572833,0 days 00:00:12.999634,0.8262834310612698,0.044577873396762786,95.0,800,79.0,2.648718225902576,0.8816186684813494,COMPLETE,,
LightGBM,11,0.9408901540099346,0 days 00:00:04.894538,0.7949160044113209,0.036765195013127625,51.0,400,20.0,0.4702168777137103,0.905521833936588,COMPLETE,,
XGBoost,0,0.9340594680701173,0 days 00:00:11.402829,0.7467983561008608,0.08356962966902622,,600,,0.5873671345397129,0.7468055921327309,COMPLETE,9.0,7.986584841970366
XGBoost,1,0.9351177219346948,0 days 00:00:17.547445,0.9497327922401265,0.04939532457973187,,900,,0.9008485225328876,0.9909729556485982,COMPLETE,9.0,2.2058449429580245
XGBoost,2,0.9407578204432183,0 days 00:00:08.554198,0.7873687420594125,0.02635312467086273,,500,,2.727183127344505,0.8295835055926347,COMPLETE,6.0,7.247564316322379
XGBoost,3,0.9404785662393227,0 days 00:00:07.313287,0.7599021346475079,0.03103577079915638,,400,,2.0805107656418516,0.935552788417904,COMPLETE,7.0,6.56069984217036
XGBoost,4,0.939970350010201,0 days 00:00:12.609299,0.984665661176,0.0214472683882415,,700,,7.272886854845616,0.7195154778955838,COMPLETE,8.0,3.705241236872915
XGBoost,5,0.9408721299249372,0 days 00:00:09.837346,0.7366114704534336,0.03162332428203483,,800,,1.97343313857243,0.8320457481218804,COMPLETE,5.0,8.842330265121568
XGBoost,6,0.9398457212251502,0 days 00:00:06.262110,0.8560204063533432,0.07852527415665565,,400,,2.276537331461955,0.7935133228268233,COMPLETE,6.0,8.62522284353982
XGBoost,7,0.9373365881334744,0 days 00:00:08.414885,0.8793699936433255,0.08597551930071944,,500,,6.441947664628757,0.9684482051282947,COMPLETE,9.0,11.394989415641891
XGBoost,8,0.9407225736108319,0 days 00:00:06.072683,0.7814047095321688,0.026856440640652797,,400,,4.975874285808772,0.8166031869068446,COMPLETE,5.0,5.253303307632644
XGBoost,9,0.9400263925978244,0 days 00:00:10.183551,0.7223651931039312,0.030516866157722596,,600,,7.714366810951191,0.9406590942262119,COMPLETE,8.0,3.4092422497476265
XGBoost,10,0.9357847638763026,0 days 00:00:15.612872,0.8622831724526644,0.046353058541779596,,900,,1.1644414279550401,0.8792357697671264,COMPLETE,10.0,11.322903419117871
XGBoost,11,0.9407169116634341,0 days 00:00:09.647044,0.8072362608999265,0.03881991179836718,,800,,2.9986727899668377,0.8507675306803584,COMPLETE,5.0,9.183803821417523
