segment_variable,segment_value,customer_count,purchase_rate,difference_vs_overall
Gender,Female,295427,0.17764117700819493,0.002996175400513945
Gender,Male,367954,0.17225250982459764,-0.0023924917830833448
Gender,Other,5284,0.1737320211960636,-0.0009129804116173867
City_Type,Rural,123983,0.1933894162909431,0.01874441468326213
City_Type,Suburban,255377,0.1809364194896173,0.006291417881936323
City_Type,Urban,289305,0.1610583985758974,-0.013586603031783578
Current_Car_Type,Hatchback,79438,0.17429945366197538,-0.00034554794570559877
Current_Car_Type,SUV,246545,0.18095276724330245,0.006307765635621465
Current_Car_Type,Sedan,303459,0.17196721797672831,-0.002677783630952668
Current_Car_Type,Truck,39223,0.15641332891415752,-0.018231672693523465
Home_Charging_Possible,No,205988,0.12708507291686894,-0.04755992869081205
Home_Charging_Possible,Yes,462677,0.1958191135500576,0.021174111942376617
Subsidy_Available,No,248756,0.0057566450658476575,-0.16888835654183332
Subsidy_Available,Yes,419909,0.2746952315858912,0.10005022997821023
Range_Anxiety_Level,High,2194,0.0013673655423883319,-0.17327763606529265
Range_Anxiety_Level,Low,603972,0.18902697476041935,0.01438197315273837
Range_Anxiety_Level,Medium,62499,0.04174466791468664,-0.13290033369299434
Age_quintile,"(24.999, 34.0]",142341,0.17519196858248853,0.0005469669748075501
Age_quintile,"(34.0, 43.0]",136256,0.17430425082198214,-0.0003407507856988401
Age_quintile,"(43.0, 51.0]",124149,0.17525715068184197,0.0006121490741609892
Age_quintile,"(51.0, 60.0]",134020,0.18674078495746904,0.012095783349788058
Age_quintile,"(60.0, 69.0]",131899,0.16154026944859323,-0.01310473215908775
Annual_Income_USD_quintile,"(107798.0, 188549.0]",133724,0.31313750710418475,0.13849250549650377
Annual_Income_USD_quintile,"(29999.999, 62671.0]",133803,0.06452770117261945,-0.11011730043506153
Annual_Income_USD_quintile,"(62671.0, 78915.0]",133678,0.11913703077544548,-0.055507970832235506
Annual_Income_USD_quintile,"(78915.0, 91619.0]",133990,0.1679155160832898,-0.006729485524391177
Annual_Income_USD_quintile,"(91619.0, 107798.0]",133470,0.2086311530681052,0.03398615146042422
Daily_Commute_km_quintile,"(28.3, 39.0]",133185,0.17074745654540677,-0.003897545062274216
Daily_Commute_km_quintile,"(39.0, 49.8]",133931,0.17021451344348956,-0.004430488164191421
Daily_Commute_km_quintile,"(4.999, 28.3]",268102,0.1926766678353761,0.018031666227695115
Daily_Commute_km_quintile,"(49.8, 98.7]",133447,0.1467548914550346,-0.02789011015264639
