model,oof_rmse,fold_mean_rmse,fold_std_rmse,fold_scores,elapsed_seconds,best_iterations
Lasso,0.11000150443710371,0.10974372638630178,0.007456575053011353,"[0.11157668306217658, 0.10680636577215441, 0.11817144847206303, 0.11525192952944167, 0.09691220509567322]",0.9722208000021055,[]
ElasticNet,0.11023805819294114,0.10998042650871032,0.007465338829492341,"[0.11207014243016514, 0.1071493137049367, 0.1178022928188482, 0.11592771493371189, 0.09695266865588967]",1.2774242999730632,[]
Ridge,0.11218848717637732,0.11186417404812363,0.00846420558802367,"[0.11738375636463844, 0.10698650945992363, 0.11839955820717721, 0.11912652312978901, 0.09742452307908986]",0.3908923000562936,[]
GradientBoosting,0.11388510358987641,0.11335016089866826,0.011039612336035773,"[0.12119159203545399, 0.1017181850953756, 0.11583111946527715, 0.128245066939789, 0.09976484095744557]",27.870600200025365,[]
CatBoost,0.11558322533343095,0.11537206891749907,0.007040956905518101,"[0.1176428794025118, 0.10516169384182113, 0.11834219975164843, 0.12551504010662257, 0.11019853148489148]",628.7094991999911,"[3095, 3988, 2150, 3984, 1216]"
XGBoost,0.11613209454363957,0.11594453664323365,0.006682637111222491,"[0.11240425425471443, 0.10690229995392542, 0.12146301867461912, 0.12554238554811026, 0.11341072478479906]",9.542292300029658,[]
LightGBM,0.12128338706197994,0.12102220737863392,0.007984595559048522,"[0.12568668227736587, 0.11024025034452163, 0.12448816958415536, 0.13143732195932736, 0.11325861272779938]",6.00996589998249,[]
SVR,0.12324328595781657,0.1228448338344992,0.009930373735152462,"[0.1296996152122332, 0.11583787875497402, 0.12047590942700637, 0.13803711635431495, 0.11017364942396747]",5.409542199922726,[]
ExtraTrees,0.13074864072532075,0.13050208000905467,0.007952579497187194,"[0.1440101125662737, 0.12568480247050498, 0.12827052010813997, 0.13378032527515105, 0.12076463962520366]",11.59573589998763,[]
RandomForest,0.13438995624288072,0.13421891242620856,0.006716109020707409,"[0.14238795204566224, 0.12531154994218335, 0.13936863596204113, 0.13666113672031358, 0.1273652874608425]",11.018833799986169,[]
