Dataset,Column,Dtype,Missing,MissingRate,Unique
train,PassengerId,int64,0,0.0,891
train,Survived,int64,0,0.0,2
train,Pclass,int64,0,0.0,3
train,Name,object,0,0.0,891
train,Sex,object,0,0.0,2
train,Age,float64,177,0.19865319865319866,88
train,SibSp,int64,0,0.0,7
train,Parch,int64,0,0.0,7
train,Ticket,object,0,0.0,681
train,Fare,float64,0,0.0,248
train,Cabin,object,687,0.7710437710437711,147
train,Embarked,object,2,0.002244668911335578,3
test,PassengerId,int64,0,0.0,418
test,Pclass,int64,0,0.0,3
test,Name,object,0,0.0,418
test,Sex,object,0,0.0,2
test,Age,float64,86,0.20574162679425836,79
test,SibSp,int64,0,0.0,7
test,Parch,int64,0,0.0,8
test,Ticket,object,0,0.0,363
test,Fare,float64,1,0.0023923444976076554,169
test,Cabin,object,327,0.7822966507177034,76
test,Embarked,object,0,0.0,3
