Rank,Experiment,Model,FeatureSet,Parameters,CVMean,CVStd,CVMin,CVMax,OOFAccuracy,Precision,Recall,F1,AUC,Threshold,Notes
1,WeightedEnsemble,WeightedEnsemble,Final,{},0.8608305274971941,,,,0.8608305274971941,0.840625,0.7865497076023392,0.8126888217522659,0.9012665239297394,0.4900000000000001,WeightedSoftVoting
2,HardVoting,HardVoting,Final,{},0.8585858585858586,,,,0.8585858585858586,0.8417721518987342,0.7777777777777778,0.8085106382978723,0.843351548269581,0.5,Majority vote
3,SoftVoting,SoftVoting,Final,{},0.8574635241301908,,,,0.8574635241301908,0.8478964401294499,0.7660818713450293,0.804915514592934,0.901378370029506,0.5300000000000001,Equal probability average
4,ML_WCG_Hybrid,ML_WCG_Hybrid,Final,{},0.856341189674523,,,,0.856341189674523,0.8165680473372781,0.8070175438596491,0.8117647058823529,0.8999296967372895,0.37,WCG strength=0.25
5,Finalist_CatBoost,CatBoost,E10_Group,"{""depth"": 4, ""iterations"": 603, ""l2_leaf_reg"": 3.4999806116108285, ""learning_rate"": 0.0360413262384813}",0.8475839558094281,0.024433114503741436,0.8033707865168539,0.898876404494382,0.856341189674523,0.8407643312101911,0.7719298245614035,0.8048780487804879,0.9014902161292727,0.5,"seeds=[42, 2026, 3407, 777, 2025]; age=smart; child<16; combined_frequency=True"
6,Stacking,Stacking,Final,{},0.8540965207631874,,,,0.8540965207631874,0.8173652694610778,0.7982456140350878,0.8076923076923077,0.897511690580428,0.43000000000000005,OOF Logistic meta learner
7,Finalist_RandomForest,RandomForest,E10_Group,"{""max_depth"": 10, ""max_features"": 0.5033729605332278, ""min_samples_leaf"": 1, ""n_estimators"": 326}",0.8491595003452389,0.024811765143566904,0.797752808988764,0.9044943820224719,0.8540965207631874,0.8291925465838509,0.7807017543859649,0.8042168674698795,0.8973093023998977,0.5,"seeds=[42, 2026, 3407, 777, 2025]; age=smart; child<16; combined_frequency=True"
8,Finalist_XGBoost,XGBoost,E10_Group,"{""colsample_bytree"": 0.7939937660465151, ""learning_rate"": 0.05862822662504594, ""max_depth"": 4, ""min_child_weight"": 4, ""n_estimators"": 254, ""reg_lambda"": 0.751199500513433, ""subsample"": 0.9494973200659226}",0.8439884501914505,0.03057145776706309,0.7752808988764045,0.9044943820224719,0.8529741863075196,0.8370607028753994,0.7660818713450293,0.8,0.896595617763291,0.5,"seeds=[42, 2026, 3407, 777, 2025]; age=smart; child<16; combined_frequency=True"
9,Finalist_LightGBM,LightGBM,E10_Group,"{""learning_rate"": 0.0241382790774509, ""max_depth"": 4, ""min_child_samples"": 17, ""n_estimators"": 480, ""num_leaves"": 16, ""reg_lambda"": 1.0817130716689736}",0.8435427782311219,0.031108862476504556,0.7808988764044944,0.898876404494382,0.8507295173961841,0.8338658146964856,0.7631578947368421,0.7969465648854962,0.8960576912834606,0.5,"seeds=[42, 2026, 3407, 777, 2025]; age=smart; child<16; combined_frequency=True"
10,Pool_HistGradientBoosting,HistGradientBoosting,E10_Group,{},0.8473353838428223,0.020701700278795622,0.8202247191011236,0.8715083798882681,0.8473625140291807,0.8301282051282052,0.7573099415204678,0.7920489296636085,0.8889235079197692,0.5,seeds=[2026]; age=smart; child<16; combined_frequency=True
11,Pool_CatBoost,CatBoost,E10_Group,{},0.8462306195467957,0.015815097141536772,0.8202247191011236,0.8651685393258427,0.8462401795735129,0.8382838283828383,0.7426900584795322,0.7875968992248062,0.8927795353593456,0.5,seeds=[2026]; age=smart; child<16; combined_frequency=True
12,Pool_RandomForest,RandomForest,E10_Group,{},0.8428221706107589,0.026801662341853296,0.8089887640449438,0.888268156424581,0.8428731762065096,0.8300653594771242,0.7426900584795322,0.7839506172839507,0.8878716219814868,0.5,seeds=[2026]; age=smart; child<16; combined_frequency=True
13,Pool_LightGBM,LightGBM,E10_Group,{},0.8361245370660976,0.02699926458315884,0.8033707865168539,0.8764044943820225,0.8361391694725028,0.8181818181818182,0.7368421052631579,0.7753846153846153,0.8885267205658348,0.5,seeds=[2026]; age=smart; child<16; combined_frequency=True
14,Pool_GradientBoosting,GradientBoosting,E10_Group,{},0.8349821103508882,0.026429873801775784,0.7921348314606742,0.8659217877094972,0.835016835016835,0.8135048231511254,0.7397660818713451,0.774885145482389,0.8903029431502253,0.5,seeds=[2026]; age=smart; child<16; combined_frequency=True
