Experiment,FeaturesAdded,NumFeatures,CVMean,CVStd,OOFAccuracy,DeltaVsPrevious
E0_Basic,basic,7,0.8046324775594753,0.042337225752967673,0.8047138047138047,0.0
E1_Title,title,10,0.821455024794426,0.04319770939035412,0.8215488215488216,0.01683501683501687
E2_Family,family,19,0.827066725252652,0.04274481328074788,0.8271604938271605,0.0056116722783389195
E3_Ticket,ticket,24,0.8046826941183853,0.02016711674683895,0.8047138047138047,-0.02244668911335579
E4_Fare,fare,28,0.8024543343167408,0.01697305530559474,0.8024691358024691,-0.002244668911335568
E5_Cabin,cabin,31,0.8114242671520934,0.019204803729752366,0.8114478114478114,0.008978675645342271
E6_SmartAge,age,34,0.8080723118448307,0.014049358466449315,0.8080808080808081,-0.0033670033670033517
E7_Interactions,interactions,41,0.8058313979034587,0.01870993948417573,0.8058361391694725,-0.002244668911335568
E8_FamilySurvival,group_family,45,0.8147950536689473,0.016480518352647917,0.8148148148148148,0.008978675645342271
E9_TicketSurvival,group_ticket,49,0.822666499278137,0.014526967875199047,0.8226711560044894,0.007856341189674598
E10_Group,group,49,0.822666499278137,0.014526967875199047,0.8226711560044894,0.0
