Feature,Importance
TicketNumber,10.666474565319353
Age,7.254494406151529
NameLength,6.595056559124914
TitleFrequency,6.312011393156245
Sex_male,5.068482336202091
FarePerPerson,4.140317125139042
WCGFamilyRate,3.7609049380137396
TicketSurvivalRate,3.720586649552127
LogFarePerPerson,3.693920196060055
WCGTicketRate,3.645188708083984
Sex_female,2.7884573235238506
Title_Mr,2.7407905976783047
FamilySurvivalRate,2.3853196969231205
Sex_Pclass_female_2,2.195451517094892
Embarked_S,1.8154175576128129
LogFare,1.7787723443953072
Fare,1.6884905823674914
Title_Pclass_Mr_2,1.5540193937082902
CabinCount,1.445678746838868
Deck_Unknown,1.1545408977758762
Sex_Pclass_female_3,1.0234344793463743
Sex_Pclass_female_1,0.9992772574786991
FemaleFamilySize,0.9514003533610703
Deck_E,0.9108376497159836
TicketPrefix_PC,0.8567786148190643
