number,value,datetime_start,datetime_complete,duration,params_depth,params_iterations,params_l2_leaf_reg,params_learning_rate,state
0,0.8383221596272602,2026-09-11 00:55:42.732904,2026-09-11 00:55:47.547802,0 days 00:00:04.814898,5,337,2.3453457781644413,0.07693146616604472,COMPLETE
1,0.8373061405776948,2026-09-11 00:55:47.547857,2026-09-11 00:55:57.895710,0 days 00:00:10.347853,7,442,10.244300384431181,0.02089967721602361,COMPLETE
2,0.8399503872436238,2026-09-11 00:55:57.895765,2026-09-11 00:56:09.448541,0 days 00:00:11.552776,7,473,4.075587865549258,0.024888077756135128,COMPLETE
3,0.8335012878414508,2026-09-11 00:56:09.448599,2026-09-11 00:56:18.558415,0 days 00:00:09.109816,7,368,4.439764541874594,0.016259773721052865,COMPLETE
4,0.8426739301018012,2026-09-11 00:56:18.558484,2026-09-11 00:56:25.683952,0 days 00:00:07.125468,5,475,10.460441698596902,0.04797189171995208,COMPLETE
5,0.8314135945266613,2026-09-11 00:56:25.683997,2026-09-11 00:56:29.024865,0 days 00:00:03.340868,4,262,6.3285040300348605,0.022114997517949896,COMPLETE
6,0.8408331424299956,2026-09-11 00:56:29.024914,2026-09-11 00:56:37.746701,0 days 00:00:08.721787,7,344,2.175316823920402,0.019254647622544613,COMPLETE
7,0.8447092483226889,2026-09-11 00:56:37.746748,2026-09-11 00:56:46.276328,0 days 00:00:08.529580,6,438,6.799004634220337,0.06537349399170973,COMPLETE
8,0.8419973441766129,2026-09-11 00:56:46.276394,2026-09-11 00:56:53.295712,0 days 00:00:07.019318,5,458,4.969959360630139,0.023079222171705955,COMPLETE
9,0.8413104776409767,2026-09-11 00:56:53.295757,2026-09-11 00:57:00.793063,0 days 00:00:07.497306,5,480,4.486272009951216,0.021218313199766817,COMPLETE
10,0.8434578836429732,2026-09-11 00:57:00.793116,2026-09-11 00:57:13.679165,0 days 00:00:12.886049,6,632,7.191219678831632,0.0360933008833315,COMPLETE
11,0.8449957035920123,2026-09-11 00:57:13.679262,2026-09-11 00:57:25.189631,0 days 00:00:11.510369,6,589,7.314975965275215,0.0423575233180796,COMPLETE
12,0.8440962708143975,2026-09-11 00:57:25.189674,2026-09-11 00:57:37.506594,0 days 00:00:12.316920,6,630,7.6996179219300585,0.06300582455712271,COMPLETE
13,0.8455403418593807,2026-09-11 00:57:37.506646,2026-09-11 00:57:48.638671,0 days 00:00:11.132025,6,561,5.831455975317367,0.042233765775307644,COMPLETE
14,0.8432903004474361,2026-09-11 00:57:48.638715,2026-09-11 00:57:59.330177,0 days 00:00:10.691462,6,555,3.3846968578016123,0.03409743182713224,COMPLETE
15,0.8411672923148703,2026-09-11 00:57:59.330229,2026-09-11 00:58:10.642230,0 days 00:00:11.312001,6,581,8.598930318685655,0.04078724170976391,COMPLETE
16,0.8459422601212859,2026-09-11 00:58:10.642283,2026-09-11 00:58:17.465585,0 days 00:00:06.823302,4,550,5.723324912456338,0.02937269158191772,COMPLETE
17,0.8497750851872629,2026-09-11 00:58:17.465631,2026-09-11 00:58:24.079206,0 days 00:00:06.613575,4,537,3.3249115497148414,0.03237365129875406,COMPLETE
18,0.8456749543678904,2026-09-11 00:58:24.079268,2026-09-11 00:58:30.740846,0 days 00:00:06.661578,4,527,3.1511106684743555,0.029798077816704713,COMPLETE
19,0.8501671780230764,2026-09-11 00:58:30.740896,2026-09-11 00:58:37.315490,0 days 00:00:06.574594,4,519,2.759200374998743,0.0276387848896488,COMPLETE
20,0.8478569651500864,2026-09-11 00:58:37.315541,2026-09-11 00:58:43.789240,0 days 00:00:06.473699,4,518,2.757372920546584,0.02714777022605164,COMPLETE
21,0.8419826536833122,2026-09-11 00:58:43.789287,2026-09-11 00:58:50.126371,0 days 00:00:06.337084,4,513,2.7108469406941555,0.027440365107124887,COMPLETE
22,0.8436036376261897,2026-09-11 00:58:50.126427,2026-09-11 00:58:55.249958,0 days 00:00:05.123531,4,408,3.3241729249637544,0.03353341330813215,COMPLETE
23,0.843606652888721,2026-09-11 00:58:55.250037,2026-09-11 00:59:01.907318,0 days 00:00:06.657281,4,520,2.5746602672848193,0.02639751388617238,COMPLETE
24,0.8355809108337248,2026-09-11 00:59:01.907374,2026-09-11 00:59:08.285340,0 days 00:00:06.377966,4,508,2.893505587777615,0.018218838510486397,COMPLETE
25,0.8504476169631552,2026-09-11 00:59:08.285387,2026-09-11 00:59:17.625802,0 days 00:00:09.340415,5,599,2.0300531724592332,0.03117757453904797,COMPLETE
26,0.8415748381015864,2026-09-11 00:59:17.625848,2026-09-11 00:59:27.132112,0 days 00:00:09.506264,5,612,2.056746159738629,0.048900438348931805,COMPLETE
27,0.8506413742323944,2026-09-11 00:59:27.132165,2026-09-11 00:59:36.506762,0 days 00:00:09.374597,5,600,3.7567745082045336,0.03168108592969426,COMPLETE
28,0.8439777814274617,2026-09-11 00:59:36.506831,2026-09-11 00:59:45.991317,0 days 00:00:09.484486,5,605,3.7842669240201667,0.039473862124264965,COMPLETE
29,0.845904711413222,2026-09-11 00:59:45.991377,2026-09-11 00:59:56.072517,0 days 00:00:10.081140,5,649,2.4151110092672705,0.04896171296357596,COMPLETE
30,0.8473554449571389,2026-09-11 00:59:56.072569,2026-09-11 01:00:05.832877,0 days 00:00:09.760308,5,578,2.370434267282136,0.032057788767229874,COMPLETE
31,0.8442342221504764,2026-09-11 01:00:05.832972,2026-09-11 01:00:14.738379,0 days 00:00:08.905407,5,545,3.150581986227299,0.03150415154142892,COMPLETE
32,0.848272652557667,2026-09-11 01:00:14.738448,2026-09-11 01:00:22.961780,0 days 00:00:08.223332,4,598,3.6071581319384363,0.03660032449477432,COMPLETE
33,0.8402160853309554,2026-09-11 01:00:22.961863,2026-09-11 01:00:30.481846,0 days 00:00:07.519983,4,489,2.001008102559242,0.024664067867816834,COMPLETE
34,0.8454066518060512,2026-09-11 01:00:30.481908,2026-09-11 01:00:40.526804,0 days 00:00:10.044896,5,568,2.964236223374301,0.0291248507229692,COMPLETE
35,0.8390328755504147,2026-09-11 01:00:40.526888,2026-09-11 01:00:49.852769,0 days 00:00:09.325881,5,538,3.872134751298056,0.025311246940978693,COMPLETE
