number,value,datetime_start,datetime_complete,duration,params_learning_rate,params_max_depth,params_min_child_samples,params_n_estimators,params_num_leaves,params_reg_lambda,state
0,0.8215897975884994,2026-09-11 01:09:40.068256,2026-09-11 01:09:40.851594,0 days 00:00:00.783338,0.0174068719569843,7,28,272,17,7.728572553918113,COMPLETE
1,0.8425046959971954,2026-09-11 01:09:40.851702,2026-09-11 01:09:41.566133,0 days 00:00:00.714431,0.05565421818989251,5,22,263,29,1.5044164367137802,COMPLETE
2,0.8282999909263791,2026-09-11 01:09:41.566244,2026-09-11 01:09:42.105465,0 days 00:00:00.539221,0.03159765618349822,3,31,304,29,1.3706483847591289,COMPLETE
3,0.8283189982844463,2026-09-11 01:09:42.105580,2026-09-11 01:09:42.991579,0 days 00:00:00.885999,0.018380311126071674,3,19,472,30,2.9723166094411173,COMPLETE
4,0.8270542962880773,2026-09-11 01:09:42.991688,2026-09-11 01:09:43.522715,0 days 00:00:00.531027,0.0162250076752264,3,27,279,31,3.317990907271911,COMPLETE
5,0.8318888093651785,2026-09-11 01:09:43.522805,2026-09-11 01:09:44.848129,0 days 00:00:01.325324,0.03277960425244877,5,20,550,24,2.0450174062807682,COMPLETE
6,0.8330415523371703,2026-09-11 01:09:44.848228,2026-09-11 01:09:45.603862,0 days 00:00:00.755634,0.03190678412325959,4,43,421,19,1.1867490523761555,COMPLETE
7,0.8358065664891291,2026-09-11 01:09:45.603961,2026-09-11 01:09:46.103475,0 days 00:00:00.499514,0.021057200307886242,4,34,189,13,3.914917148105364,COMPLETE
8,0.8309992516487169,2026-09-11 01:09:46.103573,2026-09-11 01:09:47.024130,0 days 00:00:00.920557,0.07683839855070079,3,12,539,9,1.7785162835747184,COMPLETE
9,0.8372017690362605,2026-09-11 01:09:47.024227,2026-09-11 01:09:47.677769,0 days 00:00:00.653542,0.032570496199775915,7,24,201,23,3.1328815294787766,COMPLETE
10,0.836019900940417,2026-09-11 01:09:47.677862,2026-09-11 01:09:48.568042,0 days 00:00:00.890180,0.07898390385775225,6,40,386,9,0.5360303918537767,COMPLETE
11,0.8296082699414776,2026-09-11 01:09:48.568142,2026-09-11 01:09:49.282698,0 days 00:00:00.714556,0.0533120672379728,7,20,194,24,0.7887021343628016,COMPLETE
12,0.8351821888864128,2026-09-11 01:09:49.282813,2026-09-11 01:09:50.086293,0 days 00:00:00.803480,0.04640405805723359,6,24,238,25,5.7487629980433645,COMPLETE
13,0.8392518974131964,2026-09-11 01:09:50.086404,2026-09-11 01:09:51.231136,0 days 00:00:01.144732,0.04783854605271176,6,15,343,20,2.278847441820697,COMPLETE
14,0.8428413812226103,2026-09-11 01:09:51.231244,2026-09-11 01:09:52.320205,0 days 00:00:01.088961,0.051947411676429564,5,12,350,19,0.9627370116727677,COMPLETE
15,0.8417942226534008,2026-09-11 01:09:52.320297,2026-09-11 01:09:53.366229,0 days 00:00:01.045932,0.05718445175514381,5,13,349,14,1.0103714535434474,COMPLETE
16,0.8292337778664601,2026-09-11 01:09:53.366334,2026-09-11 01:09:54.497223,0 days 00:00:01.130889,0.06368371081110227,5,16,426,27,0.6889745326580117,COMPLETE
17,0.8442327696448241,2026-09-11 01:09:54.497339,2026-09-11 01:09:55.245096,0 days 00:00:00.747757,0.03911756076118602,4,17,325,21,1.4622129765231053,COMPLETE
18,0.8409371114952401,2026-09-11 01:09:55.245213,2026-09-11 01:09:55.995247,0 days 00:00:00.750034,0.0411045774685583,4,16,328,21,0.8043490413410261,COMPLETE
19,0.8461258717804219,2026-09-11 01:09:55.995372,2026-09-11 01:09:57.108608,0 days 00:00:01.113236,0.0241382790774509,4,17,480,16,1.0817130716689736,COMPLETE
20,0.8361795366956105,2026-09-11 01:09:57.108721,2026-09-11 01:09:58.378691,0 days 00:00:01.269970,0.024602869164268924,4,18,593,15,0.5374730662572818,COMPLETE
21,0.8401660645823114,2026-09-11 01:09:58.378779,2026-09-11 01:09:59.404874,0 days 00:00:01.026095,0.03967369604528613,4,12,470,18,1.0032027404732795,COMPLETE
22,0.8363844762286309,2026-09-11 01:09:59.404996,2026-09-11 01:10:00.609015,0 days 00:00:01.204019,0.026222999448069096,5,16,395,16,1.0845494781405183,COMPLETE
23,0.838448991393985,2026-09-11 01:10:00.609108,2026-09-11 01:10:01.602544,0 days 00:00:00.993436,0.04017333219904621,4,14,459,12,1.316298101413029,COMPLETE
24,0.8364537104789533,2026-09-11 01:10:01.602656,2026-09-11 01:10:02.852277,0 days 00:00:01.249621,0.025814334064472606,5,18,501,21,1.7066947232956768,COMPLETE
25,0.832475945531584,2026-09-11 01:10:02.852402,2026-09-11 01:10:03.725971,0 days 00:00:00.873569,0.06624528992951177,4,22,375,11,0.7847316129533489,COMPLETE
26,0.8363041641139946,2026-09-11 01:10:03.726073,2026-09-11 01:10:04.760496,0 days 00:00:01.034423,0.021202911725386252,6,12,307,17,2.175750158244874,COMPLETE
27,0.8424913286745003,2026-09-11 01:10:04.760601,2026-09-11 01:10:05.683114,0 days 00:00:00.922513,0.03648556139151416,4,17,424,22,0.8881391444693206,COMPLETE
28,0.8369283048575479,2026-09-11 01:10:05.683230,2026-09-11 01:10:06.977266,0 days 00:00:01.294036,0.04927244640397343,5,22,518,19,0.6373954186034264,COMPLETE
29,0.8253902553087172,2026-09-11 01:10:06.977390,2026-09-11 01:10:07.929457,0 days 00:00:00.952067,0.02748907832335568,3,26,589,7,7.369479216860034,COMPLETE
30,0.8296807073784644,2026-09-11 01:10:07.929551,2026-09-11 01:10:08.549843,0 days 00:00:00.620292,0.0217599100313394,4,14,235,17,1.4981277947518936,COMPLETE
31,0.8358073331860203,2026-09-11 01:10:08.549940,2026-09-11 01:10:09.203768,0 days 00:00:00.653828,0.059624447577519925,5,21,230,27,1.582761586012805,COMPLETE
32,0.835978215917787,2026-09-11 01:10:09.203876,2026-09-11 01:10:09.897540,0 days 00:00:00.693664,0.0433373998944138,5,30,268,27,1.248328008902793,COMPLETE
