number,value,datetime_start,datetime_complete,duration,params_max_depth,params_max_features,params_min_samples_leaf,params_n_estimators,state
0,0.8362773446793896,2026-09-11 01:02:54.347936,2026-09-11 01:03:02.930873,0 days 00:00:08.582937,7,0.407784364071284,6,409,COMPLETE
1,0.8340785812438759,2026-09-11 01:03:02.930958,2026-09-11 01:03:12.050217,0 days 00:00:09.119259,12,0.9426148681994285,2,540,COMPLETE
2,0.8290151379743628,2026-09-11 01:03:12.050263,2026-09-11 01:03:20.944013,0 days 00:00:08.893750,11,0.6082456457660523,2,579,COMPLETE
3,0.8366108786615033,2026-09-11 01:03:20.944073,2026-09-11 01:03:27.894919,0 days 00:00:06.950846,12,0.6392939677963305,1,448,COMPLETE
4,0.823496777348979,2026-09-11 01:03:27.895079,2026-09-11 01:03:37.120125,0 days 00:00:09.225046,7,0.9501892533283521,5,581,COMPLETE
5,0.8292936362651039,2026-09-11 01:03:37.120179,2026-09-11 01:03:41.725608,0 days 00:00:04.605429,5,0.7678830173538613,2,315,COMPLETE
6,0.8366061012072906,2026-09-11 01:03:41.725654,2026-09-11 01:03:47.971473,0 days 00:00:06.245819,12,0.38048268567337107,1,418,COMPLETE
7,0.8266797111704041,2026-09-11 01:03:47.971521,2026-09-11 01:03:56.132721,0 days 00:00:08.161200,10,0.7938982419188534,6,535,COMPLETE
8,0.836626692638628,2026-09-11 01:03:56.132839,2026-09-11 01:04:04.785272,0 days 00:00:08.652433,8,0.6802183824548917,2,560,COMPLETE
9,0.8328252995051608,2026-09-11 01:04:04.785323,2026-09-11 01:04:13.838584,0 days 00:00:09.053261,8,0.6430743143081923,2,587,COMPLETE
10,0.8337288109535153,2026-09-11 01:04:13.838630,2026-09-11 01:04:25.363587,0 days 00:00:11.524957,4,0.5070520044738007,4,779,COMPLETE
11,0.8387603145965151,2026-09-11 01:04:25.363727,2026-09-11 01:04:33.759319,0 days 00:00:08.395592,9,0.6793636475879108,1,450,COMPLETE
12,0.8275978052956511,2026-09-11 01:04:33.759437,2026-09-11 01:04:45.894538,0 days 00:00:12.135101,9,0.7725077595112473,3,693,COMPLETE
13,0.8371358198206784,2026-09-11 01:04:45.894693,2026-09-11 01:04:54.877219,0 days 00:00:08.982526,9,0.5471515345463194,1,473,COMPLETE
14,0.8414747277269083,2026-09-11 01:04:54.877352,2026-09-11 01:05:02.868721,0 days 00:00:07.991369,10,0.5033729605332278,1,326,COMPLETE
15,0.8387279225875985,2026-09-11 01:05:02.868815,2026-09-11 01:05:09.693905,0 days 00:00:06.825090,10,0.4754294333485435,1,306,COMPLETE
16,0.8295054820533341,2026-09-11 01:05:09.693967,2026-09-11 01:05:19.125530,0 days 00:00:09.431563,10,0.8571992752071358,3,370,COMPLETE
17,0.8352135738541672,2026-09-11 01:05:19.125691,2026-09-11 01:05:28.234602,0 days 00:00:09.108911,6,0.5671618744847213,3,359,COMPLETE
18,0.8330688692282991,2026-09-11 01:05:28.234719,2026-09-11 01:05:38.291709,0 days 00:00:10.056990,9,0.43686318880841896,1,489,COMPLETE
19,0.8406742707219437,2026-09-11 01:05:38.291781,2026-09-11 01:05:46.166086,0 days 00:00:07.874305,11,0.7023510700244305,1,363,COMPLETE
20,0.8275816959086671,2026-09-11 01:05:46.166160,2026-09-11 01:05:53.688686,0 days 00:00:07.522526,11,0.7177651667274374,4,374,COMPLETE
21,0.8384010609301735,2026-09-11 01:05:53.688806,2026-09-11 01:05:59.963535,0 days 00:00:06.274729,11,0.8389644502365878,1,333,COMPLETE
22,0.8374869071403853,2026-09-11 01:05:59.963649,2026-09-11 01:06:07.475305,0 days 00:00:07.511656,10,0.7195406117339332,1,415,COMPLETE
23,0.8330081545858508,2026-09-11 01:06:07.475382,2026-09-11 01:06:16.515034,0 days 00:00:09.039652,8,0.589041108403028,2,491,COMPLETE
24,0.8368526019432114,2026-09-11 01:06:16.515094,2026-09-11 01:06:24.015454,0 days 00:00:07.500360,11,0.5144238329074192,1,392,COMPLETE
25,0.8337601722381439,2026-09-11 01:06:24.015556,2026-09-11 01:06:32.667337,0 days 00:00:08.651781,9,0.689632741609971,2,452,COMPLETE
26,0.8344399556843676,2026-09-11 01:06:32.667386,2026-09-11 01:06:39.832054,0 days 00:00:07.164668,10,0.89332868656747,1,349,COMPLETE
27,0.8288749157634691,2026-09-11 01:06:39.832145,2026-09-11 01:06:47.258516,0 days 00:00:07.426371,11,0.6328588322453812,3,304,COMPLETE
28,0.8316637979283081,2026-09-11 01:06:47.258670,2026-09-11 01:06:57.015231,0 days 00:00:09.756561,7,0.4613875615269364,2,440,COMPLETE
29,0.8379778753381986,2026-09-11 01:06:57.015277,2026-09-11 01:07:11.786996,0 days 00:00:14.771719,9,0.36661743904208594,1,654,COMPLETE
30,0.8352786475871441,2026-09-11 01:07:11.787044,2026-09-11 01:07:20.167774,0 days 00:00:08.380730,8,0.9987000060391114,1,400,COMPLETE
31,0.8333450857403675,2026-09-11 01:07:20.167817,2026-09-11 01:07:26.962650,0 days 00:00:06.794833,10,0.4726009271426494,1,302,COMPLETE
32,0.8351161352404333,2026-09-11 01:07:26.962708,2026-09-11 01:07:34.507148,0 days 00:00:07.544440,10,0.41607480812256686,2,336,COMPLETE
33,0.8394148050564955,2026-09-11 01:07:34.507257,2026-09-11 01:07:41.962357,0 days 00:00:07.455100,12,0.5364568098406611,1,331,COMPLETE
34,0.8313425169969,2026-09-11 01:07:41.962529,2026-09-11 01:07:49.680614,0 days 00:00:07.718085,12,0.540710274782789,2,383,COMPLETE
35,0.8336849370950903,2026-09-11 01:07:49.680662,2026-09-11 01:07:56.068298,0 days 00:00:06.387636,12,0.6117344099764253,1,341,COMPLETE
36,0.8349706193251688,2026-09-11 01:07:56.068342,2026-09-11 01:08:03.608322,0 days 00:00:07.539980,11,0.6765113564719909,2,408,COMPLETE
37,0.8379926999670056,2026-09-11 01:08:03.608385,2026-09-11 01:08:11.564550,0 days 00:00:07.956165,12,0.5896099784042915,1,438,COMPLETE
38,0.8375194321292637,2026-09-11 01:08:11.564613,2026-09-11 01:08:17.988250,0 days 00:00:06.423637,11,0.7452729248914941,1,364,COMPLETE
39,0.8394063300630416,2026-09-11 01:08:17.988301,2026-09-11 01:08:23.775028,0 days 00:00:05.786727,12,0.8090341606042734,2,332,COMPLETE
40,0.8323840574289296,2026-09-11 01:08:23.775087,2026-09-11 01:08:29.508132,0 days 00:00:05.733045,12,0.8128611885124302,2,324,COMPLETE
41,0.8377855384963105,2026-09-11 01:08:29.508206,2026-09-11 01:08:35.876805,0 days 00:00:06.368599,11,0.9185745807027579,1,349,COMPLETE
42,0.8361519480560675,2026-09-11 01:08:35.877041,2026-09-11 01:08:43.184149,0 days 00:00:07.307108,12,0.6609044952585528,2,388,COMPLETE
43,0.8301359877198059,2026-09-11 01:08:43.184212,2026-09-11 01:08:52.459405,0 days 00:00:09.275193,11,0.7159976134275471,3,514,COMPLETE
44,0.825369529685635,2026-09-11 01:08:52.459450,2026-09-11 01:08:58.434691,0 days 00:00:05.975241,12,0.7655353798821164,5,324,COMPLETE
45,0.8378726668466258,2026-09-11 01:08:58.434740,2026-09-11 01:09:06.555959,0 days 00:00:08.121219,12,0.8036278436906946,1,459,COMPLETE
46,0.8373755178241793,2026-09-11 01:09:06.556040,2026-09-11 01:09:14.713372,0 days 00:00:08.157332,11,0.4985519330295246,2,427,COMPLETE
