Feature,Importance,Std
Age,0.03445065176908749,0.012664311460647518
TitleFrequency,0.030260707635009255,0.009529557490902566
NameLength,0.024208566108007396,0.008009613842684001
Sex_male,0.02327746741154557,0.007506757679980002
Sex_female,0.02048417132216011,0.007678036546774035
Embarked_S,0.02048417132216009,0.006967704630863941
Title_Mr,0.016759776536312793,0.008533660512022052
FarePerPerson,0.013966480446927332,0.005348754791934849
Fare,0.013035381750465508,0.004747690422339646
LogFare,0.011638733705772777,0.0057960426433839455
LogFarePerPerson,0.010707635009310934,0.00579604264338394
Sex_Pclass_female_2,0.008845437616387295,0.006633057192167129
WCGTicketRate,0.008845437616387286,0.00424135641487165
Alone_Sex_0_male,0.008379888268156388,0.0027932960893854997
Alone_Sex_1_male,0.0074487895716945736,0.007678036546774038
TicketSurvivalRate,0.0074487895716945736,0.006967704630863941
FareBand_0,0.007448789571694564,0.0034838523154319865
FemaleFamilySize,0.006983240223463656,0.004031775622832586
Sex_AgeBand_male_YoungAdult,0.006983240223463638,0.004031775622832579
FareBand_2,0.00651769087523275,0.005508454174208197
Deck_C,0.006517690875232722,0.0020819999790501025
Title_Pclass_Mr_1,0.006517690875232722,0.0020819999790501025
Sex_Pclass_male_1,0.005586592178770888,0.0
Deck_Pclass_C_1,0.005586592178770888,0.0
Title_Pclass_Mr_2,0.005121042830540008,0.004241356414871641
