RuleId,Base,Keys,Reference,Support,LowCut,HighCut,LowTarget,MaleHigh,OOFAccuracy,FoldMean,FoldStd,PositivePredictions
R0291,female_master,FamilyID+TicketNormalized,female_master,1,0.0,1.0,female_master,none,0.8507295173961841,0.8482556022848534,0.022984662507536908,159
R0292,female_master,FamilyID+TicketNormalized,female_master,1,0.0,1.0,female_master,master,0.8507295173961841,0.8482556022848534,0.022984662507536908,159
R0297,female_master,FamilyID+TicketNormalized,female_master,1,0.25,1.0,female_master,none,0.8507295173961841,0.8482556022848534,0.022984662507536908,158
R0298,female_master,FamilyID+TicketNormalized,female_master,1,0.25,1.0,female_master,master,0.8507295173961841,0.8482556022848534,0.022984662507536908,158
R0315,female_master,FamilyID+TicketNormalized,female_child16,1,0.0,1.0,female_master,none,0.8507295173961841,0.8482556022848534,0.022984662507536908,159
R0316,female_master,FamilyID+TicketNormalized,female_child16,1,0.0,1.0,female_master,master,0.8507295173961841,0.8482556022848534,0.022984662507536908,159
R0321,female_master,FamilyID+TicketNormalized,female_child16,1,0.25,1.0,female_master,none,0.8507295173961841,0.8482556022848534,0.022984662507536908,158
R0322,female_master,FamilyID+TicketNormalized,female_child16,1,0.25,1.0,female_master,master,0.8507295173961841,0.8482556022848534,0.022984662507536908,158
R0345,female_master,UnionGroup,female_master,1,0.25,1.0,female_master,none,0.8507295173961841,0.8478061640826062,0.023143346329675355,158
R0346,female_master,UnionGroup,female_master,1,0.25,1.0,female_master,master,0.8507295173961841,0.8478061640826062,0.023143346329675355,158
R0369,female_master,UnionGroup,female_child16,1,0.25,1.0,female_master,none,0.8507295173961841,0.8478061640826062,0.023143346329675355,158
R0370,female_master,UnionGroup,female_child16,1,0.25,1.0,female_master,master,0.8507295173961841,0.8478061640826062,0.023143346329675355,158
R0293,female_master,FamilyID+TicketNormalized,female_master,1,0.0,1.0,female_master,young,0.8496071829405163,0.8475814449814827,0.023219019524670523,160
R0299,female_master,FamilyID+TicketNormalized,female_master,1,0.25,1.0,female_master,young,0.8496071829405163,0.8475814449814827,0.023219019524670523,159
R0317,female_master,FamilyID+TicketNormalized,female_child16,1,0.0,1.0,female_master,young,0.8496071829405163,0.8475814449814827,0.023219019524670523,160
R0323,female_master,FamilyID+TicketNormalized,female_child16,1,0.25,1.0,female_master,young,0.8496071829405163,0.8475814449814827,0.023219019524670523,159
R0347,female_master,UnionGroup,female_master,1,0.25,1.0,female_master,young,0.8496071829405163,0.8471320067792355,0.023363147312467095,159
R0371,female_master,UnionGroup,female_child16,1,0.25,1.0,female_master,young,0.8496071829405163,0.8471320067792355,0.023363147312467095,159
R0201,female_master,FamilyID,female_master,1,0.25,1.0,female_master,none,0.8496071829405163,0.8462356412026866,0.023976389390550794,159
R0202,female_master,FamilyID,female_master,1,0.25,1.0,female_master,master,0.8496071829405163,0.8462356412026866,0.023976389390550794,159
R0203,female_master,FamilyID,female_master,1,0.25,1.0,female_master,young,0.8496071829405163,0.8462356412026866,0.023976389390550794,159
R0225,female_master,FamilyID,female_child16,1,0.25,1.0,female_master,none,0.8496071829405163,0.8462356412026866,0.023976389390550794,159
R0226,female_master,FamilyID,female_child16,1,0.25,1.0,female_master,master,0.8496071829405163,0.8462356412026866,0.023976389390550794,159
R0227,female_master,FamilyID,female_child16,1,0.25,1.0,female_master,young,0.8496071829405163,0.8462356412026866,0.023976389390550794,159
R0484,female_child12,FamilyID+TicketNormalized,female_master,1,0.0,1.0,female_master,master,0.8496071829405163,0.8462343857887139,0.023450396283908072,155
